CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,,,
Adjusted,,5/30/2027,,0.75,1/22/2026,0.77,12/22/2025,0.77,12/1/2025,0.77,10/28/2025,0.77,9/28/2025,0.84,9/2/2025,0.84,7/28/2025,0.85,6/27/2025
,,2/28/2027,,0.51,,0.56,,0.56,,0.56,,0.56,,0.59,,0.59,,0.63,
,,11/30/2026,,0.57,,0.64,,0.64,,0.64,,0.64,,0.68,,0.68,,0.68,
,,8/30/2026,,0.48,,0.54,,0.54,,0.54,,0.54,,0.52,,0.52,,0.56,
,,5/30/2026,,0.57,5/20/2025,0.57,5/20/2025,0.56,5/20/2025,0.56,5/20/2025,0.54,5/20/2025,0.58,5/20/2025,0.58,5/20/2025,0.59,5/20/2025
,,2/28/2026,,0.45,,0.44,,0.41,,0.41,,0.41,,0.46,,0.46,,0.46,
,12/17/2025,11/30/2025,0.35,0.43,,0.41,,0.41,,0.42,,0.41,,0.41,,0.47,,,
,9/23/2025,8/30/2025,0.29,0.45,,0.34,,0.34,,0.37,,,,,,,,,
,6/25/2025,5/30/2025,-0.84,0.6,8/8/2024,0.45,8/8/2024,0.58,8/8/2024,0.77,8/8/2024,,,,,,,,
,3/26/2025,2/28/2025,-0.19,0.44,,0.44,,0.53,,0.56,,,,,,,,,
,12/18/2024,11/30/2024,0.49,0.55,,0.53,,0.57,,0.61,,,,,,,,,
,9/19/2024,8/30/2024,-0.02,0.36,,0.4,,0.41,,0.41,,,,,,,,,
,6/26/2024,5/30/2024,0.14,0.67,8/21/2023,0.57,8/21/2023,0.61,8/21/2023,0.68,8/21/2023,,,,,,,,
,3/27/2024,2/28/2024,0.3,0.45,,0.44,,0.44,,0.44,,,,,,,,,
,12/20/2023,11/30/2023,0.45,0.59,,0.55,,0.56,,0.51,,,,,,,,,
,9/26/2023,8/30/2023,0.22,0.37,,0.21,,0.27,,0.42,,,,,,,,,
,7/12/2023,5/30/2023,0.01,0.41,,0.39,,0.39,,0.46,,,,,,,,,
,3/22/2023,2/28/2023,0.01,0.54,,0.42,,0.42,,0.45,,,,,,,,,
,12/21/2022,11/30/2022,0.21,0.46,,0.42,,0.45,,0.59,,,,,,,,,
,9/28/2022,8/30/2022,0.34,0.44,,0.34,,0.34,,0.34,,,,,,,,,
,6/29/2022,5/28/2022,0.28,0.58,,0.47,,0.49,,0.49,,,,,,,,,
,3/29/2022,2/26/2022,0.16,0.28,,0.27,,0.27,,0.34,,,,,,,,,
,1/4/2022,11/30/2021,-0.02,0.51,,0.57,,0.57,,0.56,,,,,,,,,
,9/29/2021,8/31/2021,-0.92,0.49,,0.54,,0.56,,0.6,,,,,,,,,
,6/28/2021,5/28/2021,0.12,0.56,,0.39,,0.4,,0.39,,,,,,,,,
,3/17/2021,2/26/2021,0.7,0.65,,0.58,,0.58,,0.58,,,,,,,,,
,12/16/2020,11/30/2020,0.87,0.89,,0.57,,0.57,,0.53,,,,,,,,,
,9/16/2020,8/31/2020,1.24,1.24,,0.26,,0.26,,0.28,,,,,,,,,
,6/29/2020,6/1/2020,-2.95,0.11,,0.05,,0.43,,0.91,,,,,,,,,
,3/18/2020,2/28/2020,0.64,0.74,,0.71,,0.71,,0.75,,,,,,,,,
,12/18/2019,11/29/2019,1.323187749,0.88,,0.87,,0.85,,0.83,0.82,,,,,,,,
,9/18/2019,8/30/2019,0.813753062,0.84,,0.78,,0.73,,,,,,,,,,,
,6/26/2019,5/31/2019,0.781300271,0.88,,0.78,,0.72,,0.73,0.71,,,,,,,,
,3/20/2019,2/28/2019,0.662976795,0.64,,0.6,,0.58,,0.61,0.58,,,,,,,,
,12/19/2018,11/30/2018,0.661146247,0.75,,0.72,,0.7,,,,,,,,,,,
,9/19/2018,8/31/2018,0.597971101,0.69,,0.65,,,,,,,,,,,,,
,7/2/2018,6/1/2018,0.529164194,,,0.58,,0.62,,,,,,,,,,,
,3/21/2018,3/2/2018,0.493687395,,,0.49,,0.45,,,,,,,,,,,
,12/20/2017,12/1/2017,0.554152596,,,0.57,,0.55,,0.56,0.6,,,,,,,,
,9/20/2017,9/1/2017,0.548655745,,,0.57,,0.56,,0.55,,,,,,,,,
,7/5/2017,6/2/2017,0.552429797,,,0.55,,0.52,,0.49,0.57,,,,,,,,
,3/22/2017,3/3/2017,0.372620285,,,0.32,,0.46,,0.48,,,,,,,,,
,12/21/2016,12/2/2016,0.525227836,,,0.54,,0.62,,0.61,0.6,,,,,,,,
,9/21/2016,9/2/2016,0.599631737,,,0.62,,0.6,,,,,,,,,,,
,,5/27/2016,0.671361834,,,0.52,,0.53,,0.51,0.52,,,,,,,,
,,2/26/2016,0.461533514,,,0.39,,0.41,,0.47,,,,,,,,,
,,11/30/2015,0.574393568,,,0.53,,0.51,,0.55,0.53,,,,,,,,
,,8/31/2015,0.556191394,,,0.46,,0.49,,0.5,0.57,,,,,,,,
,,5/29/2015,0.388357681,,,0.41,,0.51,,0.54,0.52,,,,,,,,
,,2/27/2015,0.35109211,,,0.34,,0.35,,0.44,0.45,,,,,,,,
,,11/28/2014,0.555727493,,,0.52,,0.51,,0.48,0.49,,,,,,,,
