CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,7/29/2021,6/30/2021,1.71,1.71,,-0.14,,-0.62,,-1.01,,,,,,,,,,,
,5/20/2021,3/31/2021,1.18,1.18,,0.61,,0.57,,0.57,,,,,,,,,,,
,2/4/2021,12/31/2020,8.99,8.99,,6.88,,6.88,,6.68,,,,,,,,,,,
,10/29/2020,9/30/2020,3.58,3.58,,2.45,,3.01,,3.01,,,,,,,,,,,
,7/30/2020,6/30/2020,-0.28,-0.28,,-0.84,,-0.9,,-1.01,,,,,,,,,,,
,5/21/2020,3/31/2020,0.57,0.57,,0.48,,0.67,,0.67,,,,,,,,,,,
,1/30/2020,12/31/2019,7.14,7.14,,6.51,,6.51,,6.46,,,,,,,,,,,
,10/24/2019,9/30/2019,2.710677582,2.71,,2.33,,2.3,,2.52,,,,,,,,,,,
,7/25/2019,6/28/2019,-0.673794218,-0.67,,-1.12,,-1.13,,-1.14,,,,,,,,,,,
,5/23/2019,3/29/2019,0.815078043,0.85,,0.08,,0.07,,0.25,,,,,,,,,,,
,1/31/2019,12/31/2018,6.680069395,6.59,,5.24,,5.19,,4.93,,,,,,,,,,,
,10/25/2018,9/28/2018,2.476755029,2.38,,1.72,,1.71,,1.87,,,,,,,,,,,
,7/26/2018,6/29/2018,-0.999474082,-0.98,,-1.42,,-1.3,,,,,,,,,,,,,
,5/24/2018,3/29/2018,0.657366071,,,0.19,,0.05,,,,,,,,,,,,,
,2/1/2018,12/29/2017,2.694703661,,,3.82,,4.25,,4.28,,,,,,,,,,,
,10/26/2017,9/29/2017,1.535665592,,,1.02,,1.21,,1.22,,,,,,,,,,,
,7/27/2017,6/30/2017,-1.316651558,,,-1.67,,-1.75,,-1.77,,,,,,,,,,,
,5/25/2017,3/31/2017,-0.491610318,,,-0.06,,-0.03,,0.44,,,,,,,,,,,
,2/2/2017,12/30/2016,1.269831935,,,4.24,,4.28,,4.76,,,,,,,,,,,
,10/27/2016,9/30/2016,1.212294121,,,1.19,,1.14,,1.25,,,,,,,,,,,
,7/28/2016,6/30/2016,-1.839807644,,,-2.08,,-1.46,,-1.55,,,,,,,,,,,
,,3/31/2016,-0.734933036,,,0.06,,0.5,,0.53,,,,,,,,,,,
,,12/31/2015,4.777913102,,,4.75,,4.92,,5.01,,,,,,,,,,,
,,9/30/2015,1.107948131,,,1.06,,1.07,,1.22,,,,,,,,,,,
,,6/30/2015,-1.42908476,,,-1.49,,-1.17,,-1.12,,,,,,,,,,,
,,3/31/2015,0.041154432,,,0,,0.14,,-1.1,,,,,,,,,,,
,,12/31/2014,4.496198319,,,4.52,,4.53,,4.77,,,,,,,,,,,
,,9/30/2014,1.165245752,,,1.03,,1.16,,0.83,,,,,,,,,,,
,,6/30/2014,-1.070351759,,,-1.28,,-0.87,,-1.03,,,,,,,,,,,
,,3/31/2014,-0.077554086,,,-0.15,,0.09,,0.07,,,,,,,,,,,
,,12/31/2013,4.037973232,,,3.8,,3.88,,3.91,,,,,,,,,,,
,,9/30/2013,0.950163821,,,0.72,,0.71,,0.81,,,,,,,,,,,
,,6/28/2013,-0.849732962,,,-1.04,,-0.94,,-0.09,,,,,,,,,,,
,,3/28/2013,0.028946763,,,-0.1,,0.06,,0.13,,,,,,,,,,,
,,12/31/2012,2.772086054,,,2.61,,2.65,,1.02,,,,,,,,,,,
,,9/28/2012,1.177269869,,,1.13,,,,,,,,,,,,,,,
,,6/29/2012,-0.531750852,,,-0.59,,,,,,,,,,,,,,,
,,3/30/2012,0.20553026,,,0.25,,,,,,,,,,,,,,,
,,12/30/2011,3.182836583,,,,,,,,,,,,,,,,,,
,,9/30/2011,1.594386323,,,,,,,,,,,,,,,,,,
,,6/30/2011,-0.189785363,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.486788334,,,,,,,,,,,,,,,,,,
,,12/31/2010,2.27097119,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.074309167,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.229420946,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.458141321,,,,,,,,,,,,,,,,,,
,,12/31/2009,1.719645622,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.862662586,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.072646985,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.311592556,,,,,,,,,,,,,,,,,,
,,12/31/2008,1.022104332,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.656968962,,,,,,,,,,,,,,,,,,
,,6/30/2008,-0.097708205,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.285743201,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.898494427,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.491220045,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.058047831,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.243607588,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.323333333,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.276666667,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.07,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.146666667,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.313333333,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.21,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.07,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.23,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.24,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.153333333,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.143333333,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.163333333,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.063333333,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.013333333,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.056666667,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.123333333,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.043333333,,,,,,,,,,,,,,,,,,
,,9/30/2002,-0.09,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.023333333,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.233333333,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.016666667,,,,,,,,,,,,,,,,,,
,,9/28/2001,-0.076666667,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.026666667,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.086666667,,,,,,,,,,,,,,,,,,
