Date,Q_EPS,,,,
12/31/2019,0.23,,,,0.245
9/30/2019,0.27,,,,0.2225
6/30/2019,0.29,,,,0.195
3/29/2019,0.19,,,,0.175
12/31/2018,0.14,,,,
9/28/2018,0.16,0.21,,,
6/29/2018,0.21,0.19,,,
3/29/2018,0.12,0.05,,,
12/29/2017,0.07,0.09,,,
9/29/2017,0.1,0.07,,,
6/30/2017,0.08,0.02,,,
3/31/2017,0.02,-0.02,,,
12/31/2016,-0.04,-0.07,,,
9/28/2016,-0.03,,,,
6/29/2016,-0.07,-0.09,,,
3/29/2016,-0.11,-1,,,
12/29/2015,-0.12,-0.15,,,
9/29/2015,-0.14,-0.17,,,
6/30/2015,-0.36,-0.4,,,
3/31/2015,-0.14,,,,
12/31/2014,-0.52,,,,
9/28/2014,-0.14,,,,
6/29/2014,-0.18,,,,
3/29/2014,-0.14,,,,
