Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2021,2.873043478,3/7/2020,2.873043478,,,,,,,,,,,,
,9/30/2021,0.592850242,,0.592850242,,,,,,,,,,,,
,6/30/2021,0.592850242,,0.592850242,,,,,,,,,,,,
,3/31/2021,0.820869565,,0.820869565,,,,,,,,,,,,
3/4/2020,12/31/2020,2.52,,2.52,,3.08,,2.36,,,,,,,,
11/12/2019,9/30/2020,0.52,,0.52,,0.59,,0.77,,,,,,,,
8/20/2019,6/30/2020,0.54,,0.54,,0.39,,0.4,,0.56,,,,,,
,3/31/2020,0.72,,0.72,,0.65,,0.49,,0.74,,,,,,
,12/31/2019,1.77,,2.39,,2.37,,2.62,,2.02,,1,,0.83,,0.81
,9/30/2019,0.403226077,,0.32,,0.65,,0.7,,0.76,,0.73,,,,
,6/28/2019,0.199081215,,0.4,,0.44,,0.7,,0.65,,0.63,,,,
,3/29/2019,0.106712796,,0.51,,0.65,,0.62,,,,,,,,
,12/31/2018,0.40075502,,0.82,,0.77,,0.76,,,,,,,,
,9/28/2018,0.216493736,,0.59,,0.6,,,,,,,,,,
,6/29/2018,0.217519768,,0.58,,,,,,,,,,,,
,3/29/2018,0.327532728,,0.5,,,,,,,,,,,,
,12/29/2017,0.30139178,,0.34,,,,,,,,,,,,
,9/29/2017,0.304874412,,0.41,,,,,,,,,,,,
,6/30/2017,0.354442057,,0.34,,,,,,,,,,,,
,3/31/2017,0.580418448,,0.3,,,,,,,,,,,,
,12/30/2016,-0.023769682,,0.18,,,,,,,,,,,,
,9/30/2016,0.251061866,,0.11,,,,,,,,,,,,
,6/30/2016,0.240150096,,0.06,,,,,,,,,,,,
,3/31/2016,0.117534513,,0.03,,,,,,,,,,,,
,12/31/2015,0.018811361,,0.07,,,,,,,,,,,,
,9/30/2015,0.096546718,,0.04,,,,,,,,,,,,
,6/30/2015,-0.043372358,,0.01,,,,,,,,,,,,
,3/31/2015,0.006870323,,0.08,,,,,,,,,,,,
,12/31/2014,0.00970047,,,,,,,,,,,,,,
,9/30/2014,-0.093690281,,,,,,,,,,,,,,
,6/30/2014,0.053651548,,,,,,,,,,,,,,
,3/31/2014,-0.014724408,,,,,,,,,,,,,,
,12/31/2013,0.064875626,,,,,,,,,,,,,,
,9/30/2013,0.083927546,,,,,,,,,,,,,,
,6/28/2013,-0.084755239,,,,,,,,,,,,,,
