CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Excl. Charges,,12/31/2026,,0.81,10/19/2025,0.83,9/28/2025,0.83,8/26/2025,0.85,7/21/2025,0.89,6/5/2025,,,,,,,,,,,,
,,9/30/2026,,0.76,,0.78,,0.78,,0.82,,0.85,,,,,,,,,,,,,
,,6/30/2026,,0.72,,0.74,,0.74,,0.77,,0.81,,,,,,,,,,,,,
,,3/30/2026,,0.67,,0.68,,0.68,,0.72,,0.75,,,,,,,,,,,,,
,,12/31/2025,,0.73,12/3/2024,0.74,12/3/2024,0.74,12/3/2024,0.78,12/3/2024,0.84,12/3/2024,,,,,,,,,,,,
,10/17/2025,9/30/2025,0.5,0.69,,0.66,,0.67,,0.74,,0.8,,,,,,,,,,,,,
,7/18/2025,6/30/2025,0.74,0.74,,0.76,,0.79,,0.83,,,,,,,,,,,,,,,
,4/25/2025,3/30/2025,0.58,0.72,,0.75,,0.75,,0.73,,,,,,,,,,,,,,,
,1/17/2025,12/31/2024,0.77,0.92,3/10/2024,0.9,3/10/2024,0.91,3/10/2024,1,3/10/2024,,,,,,,,,,,,,,
,10/18/2024,9/30/2024,0.83,0.89,,0.89,,0.89,,0.92,,,,,,,,,,,,,,,
,7/19/2024,6/30/2024,0.77,0.85,,0.83,,0.83,,0.85,,,,,,,,,,,,,,,
,4/19/2024,3/30/2024,0.74,0.75,,0.75,,0.75,,0.77,,,,,,,,,,,,,,,
,1/19/2024,12/31/2023,0.77,0.86,,0.84,,0.84,,0.85,,,,,,,,,,,,,,,
,10/20/2023,9/30/2023,0.78,0.78,,0.77,,0.78,,0.78,,,,,,,,,,,,,,,
,7/21/2023,6/30/2023,0.72,0.72,,0.71,,0.71,,0.71,,,,,,,,,,,,,,,
,4/21/2023,3/30/2023,0.65,0.63,,0.6,,0.61,,0.62,,,,,,,,,,,,,,,
,1/20/2023,12/31/2022,0.74,0.71,,0.68,,0.68,,0.64,,,,,,,,,,,,,,,
,10/21/2022,9/30/2022,0.63,0.63,,0.55,,0.55,,0.54,,,,,,,,,,,,,,,
,7/22/2022,6/30/2022,0.67,0.5,,0.4,,0.4,,0.43,,,,,,,,,,,,,,,
,4/22/2022,3/30/2022,0.36,0.34,,0.34,,0.37,,0.38,,,,,,,,,,,,,,,
,1/21/2022,12/31/2021,0.42,0.41,,0.39,,0.39,,0.4,,,,,,,,,,,,,,,
,10/22/2021,9/30/2021,0.39,0.36,,0.35,,0.35,,0.31,,,,,,,,,,,,,,,
,7/23/2021,6/30/2021,0.3,0.3,,0.26,,0.26,,0.23,,,,,,,,,,,,,,,
,4/23/2021,3/31/2021,0.21,0.21,,0.18,,0.18,,0.17,,,,,,,,,,,,,,,
,1/22/2021,12/31/2020,0.27,0.22,,0.17,,0.17,,0.13,,,,,,,,,,,,,,,
,10/16/2020,9/30/2020,-0.06,0.16,,-0.06,,0.12,,0.13,,,,,,,,,,,,,,,
,7/24/2020,6/30/2020,-2.47,0.05,,-2.47,,,,,,,,,,,,,,,,,,,
,4/17/2020,3/31/2020,-5.32,0.25,,-5.32,,,,,,,,,,,,,,,,,,,
,1/17/2020,12/31/2019,0.24,0.39,,0.24,,,,,,,,,,,,,,,,,,,
,10/18/2019,9/30/2019,-8.22,0.43,,-8.22,,,,,,,,,,,,,,,,,,,
,7/19/2019,6/28/2019,0.35,0.35,,0.35,,,,,,,,,,,,,,,,,,,
,4/18/2019,3/29/2019,0.3,0.3,,0.3,,,,,,,,,,,,,,,,,,,
,1/18/2019,12/31/2018,0.39,0.36,,0.39,,,,,,,,,,,,,,,,,,,
,10/19/2018,9/28/2018,0.46,0.46,,0.46,,,,,,,,,,,,,,,,,,,
,7/20/2018,6/29/2018,0.31,0.43,,0.31,,,,,,,,,,,,,,,,,,,
,4/20/2018,3/29/2018,0.38,0.38,,0.38,,,,,,,,,,,,,,,,,,,
,1/19/2018,12/29/2017,-1.63,0.48,,-1.63,,,,,,,,,,,,,,,,,,,
,10/20/2017,9/29/2017,0.39,0.42,,0.39,,,,,,,,,,,,,,,,,,,
,7/21/2017,6/30/2017,-0.05,0.35,,-0.05,,,,,,,,,,,,,,,,,,,
,4/21/2017,3/31/2017,0.2,0.25,,0.2,,,,,,,,,,,,,,,,,,,
,,12/30/2016,-0.15,,,-0.15,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.13,,,0.13,,,,,,,,,,,,,,,,,,,
,,6/30/2016,-1.56,,,-1.56,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.4,,,0.4,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-0.81,,,-0.81,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.78,,,0.78,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.88,,,0.88,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.76,,,0.76,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.23,,,0.23,,,,,,,,,,,,,,,,,,,
,,9/30/2014,1.49,,,1.49,,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.21,,,1.21,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.21,,,1.21,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.26,,,1.26,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.29,,,1.29,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.57,,,1.57,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.94,,,0.94,,,,,,,,,,,,,,,,,,,
,,12/28/2012,1.02,,,1.02,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.07,,,1.07,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.05,,,1.05,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.97,,,0.97,,,,,,,,,,,,,,,,,,,
,,12/30/2011,1.05,,,1.05,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.96,,,0.96,,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.98,,,0.98,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.69,,,0.69,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.76,,,0.76,,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.38,,,1.38,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.68,,,0.68,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.56,,,0.56,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.65,,,0.65,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.65,,,0.65,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.51,,,0.51,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.78,,,0.78,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.95,,,0.95,,,,,,,,,,,,,,,,,,,
,,9/30/2008,1.25,,,1.25,,,,,,,,,,,,,,,,,,,
,,6/30/2008,1.16,,,1.16,,,,,,,,,,,,,,,,,,,
,,3/31/2008,1.09,,,1.09,,,,,,,,,,,,,,,,,,,
,,12/31/2007,1.12,,,1.12,,,,,,,,,,,,,,,,,,,
,,9/28/2007,1.09,,,1.09,,,,,,,,,,,,,,,,,,,
,,6/29/2007,1.02,,,1.02,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.96,,,0.96,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.92,,,0.92,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.81,,,0.81,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.69,,,0.69,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.59,,,0.59,,,,,,,,,,,,,,,,,,,
,,12/30/2005,1.08,,,1.08,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.89,,,0.89,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.8,,,0.8,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.86,,,0.86,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.55,,,0.55,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.53,,,0.53,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.59,,,0.59,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.37,,,0.37,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.3,,,0.3,,,,,,,,,,,,,,,,,,,
,,9/30/2003,-0.09,,,-0.09,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.19,,,0.19,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.26,,,0.26,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-4.92,,,-4.92,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.3,,,0.3,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.34,,,0.34,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.3,,,0.3,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.32,,,0.32,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.34,,,0.34,,,,,,,,,,,,,,,,,,,
,,6/29/2001,-0.16,,,-0.16,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.41,,,0.41,,,,,,,,,,,,,,,,,,,
