CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
N,,12/31/2021,0.95,9/22/2020,0.95,9/21/2020,,,,,,,,,,,,,,,,,
,,9/30/2021,0.88,,0.88,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.83,,0.83,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.74,,0.74,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.59,,0.59,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.65,,0.65,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,1,,1,,,,,,,,,,,,,,,,,,
,4/29/2020,3/31/2020,0.28,,0.28,,,,,,,,,,,,,,,,,,
,2/10/2020,12/31/2019,0.91,,0.91,,,,,,,,,,,,,,,,,,
,10/29/2019,9/30/2019,1.24,,1.24,,,,,,,,,,,,,,,,,,
,7/30/2019,6/28/2019,1.05,,1.05,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,0.9,,0.9,,,,,,,,,,,,,,,,,,
,2/11/2019,12/31/2018,0.54,,0.54,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.86,,0.86,,,,,,,,,,,,,,,,,,
,8/6/2018,6/29/2018,0.93,,0.93,,,,,,,,,,,,,,,,,,
,5/7/2018,3/29/2018,0.24,,0.24,,,,,,,,,,,,,,,,,,
,2/5/2018,12/29/2017,0.19,,0.19,,,,,,,,,,,,,,,,,,
,10/30/2017,9/29/2017,0.47,,0.47,,,,,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.03,,0.03,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.34,,0.34,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.49,,0.49,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.41,,0.41,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.32,,0.32,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.42,,0.42,,,,,,,,,,,,,,,,,,
,,12/31/2015,1.18,,1.18,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,6/30/2015,-0.07,,-0.07,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.38,,0.38,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.25,,0.25,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.37,,0.37,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.33,,0.33,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.27,,0.27,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.15,,0.15,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.23,,-0.23,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.36,,0.36,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.26,,0.26,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,6/29/2012,-1.08,,-1.08,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.49,,1.49,,,,,,,,,,,,,,,,,,
,,12/30/2011,-0.23,,-0.23,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.53,,0.53,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.28,,0.28,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.53,,0.53,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.66,,0.66,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.12,,0.12,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.25,,0.25,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.12,,0.12,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.17,,-0.17,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.41,,-0.41,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.64,,-0.64,,,,,,,,,,,,,,,,,,
,,12/31/2008,-2.75,,-2.75,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.06,,0.06,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,3/31/2008,-0.07,,-0.07,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.24,,0.24,,,,,,,,,,,,,,,,,,
,,9/28/2007,-0.15,,-0.15,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.13,,0.13,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.29,,0.29,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.21,,0.21,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.48,,0.48,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.62,,0.62,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.59,,0.59,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.43,,0.43,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.57,,0.57,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.63,,0.63,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.59,,0.59,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.38,,0.38,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.32,,0.32,,,,,,,,,,,,,,,,,,
,,6/30/2004,-0.47,,-0.47,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.31,,0.31,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.48,,0.48,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.64,,0.64,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.54,,0.54,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.43,,0.43,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.43,,0.43,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.09,,0.09,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.02,,0.02,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.36,,0.36,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.31,,0.31,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.33,,0.33,,,,,,,,,,,,,,,,,,
,,12/31/1999,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.37,,0.37,,,,,,,,,,,,,,,,,,
,,12/31/1998,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.36,,0.36,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.34,,0.34,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.36,,0.36,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.41,,0.41,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.41,,0.41,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.34,,0.34,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.49,,0.49,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.39,,0.39,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.25,,0.25,,,,,,,,,,,,,,,,,,
