CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,,,,,
Non-GAAP ADS,,3/30/2027,,15.7176,11/29/2025,19.7658,10/17/2025,20.4631,9/24/2025,18.1401,8/22/2025,18.9288,7/1/2025,19.2507,5/17/2025,,,
Need to convert,,12/30/2026,,22.4421,,25.9554,,27.3177,,25.6686,,26.8875,,27.2538,,,,
from usd to rmb,,9/30/2026,,14.8419,,18.642,,19.5741,,16.6344,,19.5024,,20.4764,,,,
,,6/30/2026,,15.7023,,18.4269,,19.5024,,19.359,,20.2911,,21.1253,,,,
,,3/30/2026,,10.1814,4/3/2025,11.1135,4/3/2025,12.7626,4/3/2025,13.5513,4/3/2025,14.7702,4/3/2025,15.0689,4/3/2025,,,
,,12/30/2025,,14.2683,,16.0608,,18.0684,,17.0646,,21.9402,,22.1347,,,,
,11/25/2025,9/30/2025,8.75,4.4454,,5.8794,,8.9625,,12.906,,15.6306,,16.0783,,,,
,8/29/2025,6/30/2025,17.98,15.057,,15.057,,16.9212,,17.7366,,18.6839,,,,,,
,5/15/2025,3/30/2025,5.17,12.5454,7/4/2024,13.086,7/4/2024,12.483,7/4/2024,12.483,7/4/2024,12.44,7/4/2024,,,,,
,2/20/2025,12/30/2024,20.39,21.39,,19.929,,10.93,,19.51,,19.46,,,,,,
,11/15/2024,9/30/2024,18.17,15.06,,14.82,,14.65,,13.95,,13.88,,,,,,
,8/15/2024,6/30/2024,9.89,16.44,,14.89,,14.84,,15.74,,15,,,,,,
,5/14/2024,3/30/2024,1.3,10.14,6/27/2023,11.06,6/27/2023,11.27,6/27/2023,12.95,6/27/2023,12.94,6/27/2023,11/20/2021,,,,
