CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,
Non-GAAP,,12/31/2026,,0.63,12/2/2025,0.63,10/30/2025,0.61,9/29/2025,0.61,8/27/2025,0.67,7/24/2025,0.86,7/4/2025
,,9/30/2026,,0.58,,0.58,,0.57,,0.57,,0.64,,0.81,
,,6/30/2026,,0.49,,0.51,,0.56,,0.56,,0.6,,0.71,
,,3/30/2026,,0.41,,0.45,,0.53,,0.53,,0.56,,0.62,
,,12/31/2025,,0.59,1/2/2025,0.62,1/2/2025,0.69,1/2/2025,0.69,1/2/2025,0.66,1/2/2025,0.63,1/2/2025
,10/28/2025,9/30/2025,0.5,0.9,,0.62,,0.62,,0.6,,0.58,,,
,7/22/2025,6/30/2025,0.28,0.69,,0.63,,0.63,,0.8,,,,,
,4/22/2025,3/30/2025,0.22,0.68,,0.71,,0.68,,0.71,,,,,
,2/4/2025,12/31/2024,0.45,0.94,3/31/2024,0.74,3/31/2024,0.74,3/31/2024,0.76,3/31/2024,,,,
,10/22/2024,9/30/2024,0.33,0.65,,0.77,,0.78,,0.78,,,,,
,7/23/2024,6/30/2024,0.08,0.43,,0.48,,0.49,,0.51,,,,,
,4/23/2024,3/30/2024,-0.12,0.35,,0.41,,0.44,,0.62,,,,,
,2/6/2024,12/31/2023,0.15,0.54,3/19/2023,0.56,3/19/2023,0.57,3/19/2023,0.74,3/19/2023,,,,
,10/26/2023,9/30/2023,0.8,1.02,,1.01,,1.01,,1.09,,,,,
,7/27/2023,6/30/2023,1.09,1.47,,1.25,,1.27,,1.28,,,,,
,4/25/2023,3/30/2023,1.02,1.37,,1.21,,1.19,,1.09,,,,,
,2/7/2023,12/31/2022,1.06,1.51,,1.25,,1.25,,1.24,,,,,
,10/25/2022,9/30/2022,0.8,1.25,,1.08,,1.07,,1.03,,,,,
,7/26/2022,6/30/2022,0.54,1.07,,0.82,,0.82,,0.77,,,,,
,4/26/2022,3/31/2022,0.37,0.79,,0.66,,0.66,,0.65,,,,,
,2/8/2022,12/31/2021,0.37,0.73,,0.62,,0.62,,0.57,,,,,
,10/26/2021,9/30/2021,0.15,0.6,,0.48,,0.49,,0.48,,,,,
,7/27/2021,6/30/2021,0.28,0.53,,0.43,,0.44,,0.44,,,,,
,4/27/2021,3/31/2021,0.22,0.56,,0.44,,0.44,,0.35,,,,,
,2/9/2021,12/31/2020,0.5,0.51,,0.4,,0.41,,0.4,4/16/2020,,,,
,10/27/2020,9/30/2020,0.28,0.3,,0.24,,0.21,,0.22,,,,,
,8/4/2020,6/30/2020,-0.38,0.17,,0.15,,0.16,,0.21,,,,,
,5/5/2020,3/31/2020,0.5,0.38,,0.33,,0.33,,0.23,,,,,
,2/18/2020,12/31/2019,0.88,0.39,,0.33,,0.28,,0.13,,,,,
,10/29/2019,9/30/2019,0.23,0.3,,0.25,,0.12,,0.08,,,,,
,7/30/2019,6/28/2019,0.08,0.18,,0.13,,0.11,,0.06,,,,,
,4/30/2019,3/29/2019,0.023864392,0.08,,0.05,,0.02,,0.04,,,,,
,2/26/2019,12/31/2018,0.006225414,0.04,,0.06,,0.05,,0.06,,,,,
,11/6/2018,9/28/2018,-0.033755521,0.04,,0.04,,0.03,,0.06,,,,,
,7/31/2018,6/29/2018,-0.038408976,0.02,,0.01,,0,,0.03,,,,,
,5/1/2018,3/29/2018,-0.056091532,-0.01,,-0.03,,-0.04,,-0.01,,,,,
,2/27/2018,12/29/2017,-4.299466676,,,0.01,,-0.01,,-0.03,,,,,
,11/7/2017,9/29/2017,-0.080766421,,,-0.05,,-0.04,,-0.05,,,,,
,8/8/2017,6/30/2017,-0.143224294,,,-0.08,,-0.03,,-0.08,,,,,
,5/9/2017,3/31/2017,-0.304040391,,,-0.14,,-0.16,,,,,,,
,2/28/2017,12/30/2016,-0.213118728,,,-0.12,,-0.13,,,,,,,
,11/1/2016,9/30/2016,-0.396717289,,,-0.24,,,,,,,,,
,8/2/2016,6/30/2016,-0.358708709,,,-0.27,,,,,,,,,
,5/3/2016,3/31/2016,-0.406738947,,,-0.31,,,,,,,,,
,,12/31/2015,-0.346848629,,,-0.22,,,,,,,,,
,,9/30/2015,0.013001083,,,0.03,,,,,,,,,
,,6/30/2015,-0.013605903,,,0.02,,,,,,,,,
,,3/31/2015,-0.143799772,,,-0.08,,,,,,,,,
,,12/31/2014,0.008203412,,,0.03,,,,,,,,,
,,9/30/2014,0.016664617,,,0.07,,,,,,,,,
,,6/30/2014,-0.071070156,,,-0.02,,,,,,,,,
,,3/31/2014,-0.147755005,,,-0.13,,,,,,,,,
,,12/31/2013,-0.066853826,,,-0.03,,,,,,,,,
,,9/30/2013,-0.150824616,,,-0.1,,,,,,,,,
,,6/28/2013,-0.153687195,,,-0.13,,,,,,,,,
,,3/28/2013,-0.252885854,,,-0.23,,,,,,,,,
,,12/31/2012,-0.189666577,,,,,,,,,,,,
,,9/28/2012,-0.218549871,,,,,,,,,,,,
