Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,
12/31/2020,0.64,1/12/2020,0.66,9/17/2019,0.74,,0.74,,0.7,,0.701686747,0.71372549,,,,,,
9/30/2020,0.65,,0.65,,0.74,,0.74,,0.73,,0.69,0.690722892,0.702745098,,,,,
6/30/2020,0.63,,0.64,,0.7,,0.7,,0.68,,0.668795181,0.680784314,,,,,,
3/31/2020,0.61,,0.63,,0.68,,0.68,,0.66,,0.64686747,0.669803922,,,,,,
12/31/2019,0.61,,0.63,,0.68,,0.68,,0.65,,0.64,0.66,0.65,0.68,0.69,0.67,0.65,0.67
9/30/2019,0.61,,0.65,,0.71,,0.71,,0.67,,0.65,0.63,0.65,0.64,0.68,0.66,0.63,0.65
6/28/2019,0.579874214,,0.61,,0.62,,0.61,,0.62,0.65,0.64,0.62,0.64,,,,,
3/29/2019,0.60754717,,0.59,,0.61,,0.64,,0.62,0.6,0.63,,,,,,,
12/31/2018,0.521410579,,0.66,,0.64,,0.6,,0.5,,,,,,,,,
9/28/2018,0.618387909,,0.58,,0.48,,,,,,,,,,,,,
6/29/2018,0.54534005,,0.56,,0.47,,,,,,,,,,,,,
3/29/2018,0.612708018,,0.44,,0.5,,,,,,,,,,,,,
12/29/2017,0.30958231,,0.37,,0.32,,0.44,,0.3,,,,,,,,,
9/29/2017,0.288607595,,0.27,,0.33,,0.3,,,,,,,,,,,
6/30/2017,0.259162304,,0.2,,0.28,,0.29,,,,,,,,,,,
3/31/2017,0.196185286,,0.23,,0.28,,0.26,,,,,,,,,,,
12/30/2016,0.174157303,,0.23,,0.24,,0.27,,0.34,0.43,,,,,,,,
9/30/2016,0.213872832,,0.21,,0.26,,0.3,,0.37,,,,,,,,,
6/30/2016,-0.108761329,,0.28,,0.25,,0.28,,0.38,,,,,,,,,
3/31/2016,-0.33,,0.19,,0.2,,0.26,,0.34,0.32,,,,,,,,
12/31/2015,-0.136986301,,0.32,,0.33,,0.58,,,,,,,,,,,
9/30/2015,0.407960199,,0.57,,,,,,,,,,,,,,,
6/30/2015,0.502304147,,0.5,,,,,,,,,,,,,,,
3/31/2015,0.463133641,,0.51,,,,,,,,,,,,,,,
12/31/2014,0.379844961,,0.43,,,,,,,,,,,,,,,
9/30/2014,0.369272237,,0.39,,,,,,,,,,,,,,,
6/30/2014,0.366576819,,0.39,,,,,,,,,,,,,,,
3/31/2014,0.410810811,,0.34,,,,,,,,,,,,,,,
12/31/2013,0.27,,0.27,,,,,,,,,,,,,,,
9/30/2013,0.283783784,,0.31,,,,,,,,,,,,,,,
6/28/2013,0.264864865,,0.28,,,,,,,,,,,,,,,
3/28/2013,0.259459459,,0.26,,,,,,,,,,,,,,,
