Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,6/30/2021,0.95,5/17/2020,0.95,5/16/2020,,,,,,,,,,,,,
,3/31/2021,0.88,,0.88,,,,,,,,,,,,,,
,12/31/2020,0.99,,0.99,,,,,,,,,,,,,,
,9/30/2020,1.18,,1.18,,,,,,,,,,,,,,
,6/30/2020,0.78,,0.78,,,,,,,,,,,,,,
5/4/2020,3/31/2020,0.96,,0.96,,,,,,,,,,,,,,
2/4/2020,12/31/2019,0.94,,0.94,,,,,,,,,,,,,,
11/4/2019,9/30/2019,1.16,,1.16,,,,,,,,,,,,,,
8/20/2019,6/28/2019,0.79,,0.79,,,,,,,,,,,,,,
4/30/2019,3/29/2019,0.77,,0.77,,,,,,,,,,,,,,
2/5/2019,12/31/2018,0.88,,0.88,,,,,,,,,,,,,,
11/6/2018,9/28/2018,1.08,,1.08,,,,,,,,,,,,,,
8/21/2018,6/29/2018,0.87,,0.87,,1.1,,,,,,,,,,,,
5/1/2018,3/29/2018,0.89,,0.89,,0.93,,,,,,,,,,,,
2/6/2018,12/29/2017,2.08,,2.08,,2.01,,,,,,,,,,,,
11/7/2017,9/29/2017,0.86,,0.86,,0.82,,,,,,,,,,,,
8/15/2017,6/30/2017,0.83,,0.83,,,,,,,,,,,,,,
5/2/2017,3/31/2017,0.77,,0.77,,,,,,,,,,,,,,
2/7/2017,12/30/2016,0.75,,0.75,,,,,,,,,,,,,,
11/7/2016,9/30/2016,0.79,,0.79,,,,,,,,,,,,,,
,6/30/2016,1.06,,1.06,,,,,,,,,,,,,,
,3/31/2016,0.68,,0.68,,,,,,,,,,,,,,
,12/31/2015,0.74,,0.74,,,,,,,,,,,,,,
,9/30/2015,0.64,,0.64,,,,,,,,,,,,,,
,6/30/2015,0.75,,0.75,,,,,,,,,,,,,,
,3/31/2015,0.63,,0.63,,,,,,,,,,,,,,
,12/31/2014,0.66,,0.66,,,,,,,,,,,,,,
,9/30/2014,0.56,,0.56,,,,,,,,,,,,,,
,6/30/2014,0.62,,0.62,,0.6,,,,,,,,,,,,
,3/31/2014,0.5,,0.5,,0.55,,,,,,,,,,,,
,12/31/2013,0.56,,0.56,,0.63,,,,,,,,,,,,
,9/30/2013,0.5,,0.5,,0.58,,,,,,,,,,,,
,6/28/2013,0.56,,0.56,,,,,,,,,,,,,,
,3/28/2013,0.53,,0.53,,,,,,,,,,,,,,
,12/31/2012,0.47,,0.47,,,,,,,,,,,,,,
,9/28/2012,0.49,,0.49,,,,,,,,,,,,,,
,6/29/2012,0.5,,0.5,,,,,,,,,,,,,,
,3/30/2012,0.42,,0.42,,,,,,,,,,,,,,
,12/30/2011,0.44,,0.44,,,,,,,,,,,,,,
,9/30/2011,0.42,,0.42,,,,,,,,,,,,,,
,6/30/2011,0.42,,0.42,,,,,,,,,,,,,,
,3/31/2011,0.38,,0.38,,,,,,,,,,,,,,
,12/31/2010,0.42,,0.42,,,,,,,,,,,,,,
,9/30/2010,0.37,,0.37,,,,,,,,,,,,,,
,6/30/2010,0.35,,0.35,,,,,,,,,,,,,,
,3/31/2010,0.37,,0.37,,,,,,,,,,,,,,
,12/31/2009,0.35,,0.35,,,,,,,,,,,,,,
,9/30/2009,0.31,,0.31,,,,,,,,,,,,,,
,6/30/2009,0.33,,0.33,,,,,,,,,,,,,,
,3/31/2009,0.3,,0.3,,,,,,,,,,,,,,
,12/31/2008,0.33,,0.33,,,,,,,,,,,,,,
,9/30/2008,0.26,,0.26,,,,,,,,,,,,,,
