Date,Q_EPS,CNBC_Report
12/31/2020,0.44,
9/30/2020,0.38,
6/30/2020,0.34,
3/29/2020,0.36,
12/31/2019,0.39,
9/30/2019,0.31,
6/30/2019,0.24,
3/29/2019,0.25,0.37
12/31/2018,-0.09,0.36
9/28/2018,0.24,0.31
6/29/2018,0.21,0.28
3/29/2018,0.26,0.35
12/29/2017,1.11,0.3
9/29/2017,-0.48,0.22
6/30/2017,-0.91,0.21
3/31/2017,0.13,0.17
12/31/2016,,0.19
9/28/2016,,0.14
6/29/2016,,0.13
3/29/2016,,0.13
12/29/2015,,
9/29/2015,,
6/30/2015,,
3/31/2015,,
12/31/2014,,
9/28/2014,,
6/29/2014,,
3/29/2014,,
12/31/2013,,
9/28/2013,,
6/29/2013,,
3/29/2013,,
12/31/2012,,
9/28/2012,,
6/29/2012,,
3/29/2012,,
12/31/2011,,
9/28/2011,,
6/29/2011,,
3/29/2011,,
,,
,,
,,
,,
