CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,
Non-GAAP,,1/30/2026,,0.76,10/12/2024,0.76,10/11/2024,,,,,,,
,,10/31/2025,,0.72,,0.72,,,,,,,,
,,7/31/2025,,0.73,,0.73,,,,,,,,
,,4/30/2025,,0.69,,0.69,,,,,,,,
,,1/31/2025,,0.67,,0.67,,0.56,,,,,,
,,10/31/2024,,0.58,,0.58,,0.51,,0.38,,0.31,,
,8/28/2024,7/31/2024,0.15,0.72,,0.72,,0.46,,0.38,,0.29,,
,5/29/2024,4/29/2024,-0.24,0.65,,0.65,,0.41,,0.31,,0.26,,
,2/28/2024,1/31/2024,-0.265057048,0.63,,0.63,,0.35,,0.28,,-0.08,,-0.1325
,11/29/2023,10/31/2023,-0.492757679,0.44,,0.44,,0.2,,-0.12,,-0.1325,,
,8/30/2023,7/31/2023,-0.68,0.31,,0.31,,-0.17,,-0.1325,,,,
,5/31/2023,4/28/2023,-0.737650552,0.22,,0.22,,-0.21,,-0.1325,,,,
,3/1/2023,1/31/2023,-0.955398093,0.3,,0.3,,-0.27,,-0.28,,-0.07,,-0.1
,11/30/2022,10/31/2022,-1.316253749,0.01,,0.01,,-0.28,,-0.29,,-0.12,,-0.17
,8/31/2022,7/29/2022,-1.337357052,-0.1,,-0.1,,-0.33,,-0.14,,-0.22,,
,6/2/2022,4/29/2022,-1.557100241,-0.27,,-0.27,,-0.34,,-0.21,,-0.23,,
,3/2/2022,1/31/2022,-1.558945191,-0.18,,-0.18,,-0.28,,-0.31,,0.01,,
,12/1/2021,10/29/2021,-1.439293426,-0.07,,-0.07,,-0.34,,0.01,,,,
,9/1/2021,7/30/2021,-1.828009276,-0.11,,-0.11,,-0.02,,,,,,
,5/26/2021,4/30/2021,-0.828672682,-0.1,,-0.1,,-0.07,,,,,,
,3/3/2021,1/29/2021,-0.582458621,0.06,,0.06,,,,,,,,
,12/2/2020,10/30/2020,-0.564880874,0.04,,0.04,,,,,,,,
,8/27/2020,7/31/2020,-0.475779574,0.07,,0.07,,,,,,,,
,5/28/2020,4/30/2020,-0.467229177,-0.06,,-0.06,,,,,,,,
,3/5/2020,1/31/2020,-0.415425873,-0.01,,-0.01,,,,,,,,
,12/5/2019,10/31/2019,-0.533721087,-0.03,,-0.03,,,,,,,,
,8/28/2019,7/31/2019,-0.373805777,-0.05,,-0.05,,,,,,,,
,5/30/2019,4/30/2019,-0.461475657,-0.19,,-0.19,,,,,,,,
,3/7/2019,1/31/2019,-0.279433512,-0.04,,-0.04,,,,,,,,
,12/6/2018,10/31/2018,-0.271199529,-0.04,,-0.04,,,,,,,,
,9/6/2018,7/31/2018,-0.367378306,-0.15,,-0.15,,,,,,,,
,6/6/2018,4/30/2018,-0.24951297,-0.09,,-0.09,,,,,,,,
,3/7/2018,1/31/2018,-0.22823837,-0.08,,-0.08,,,,,,,,
,12/6/2017,10/31/2017,-0.346335128,-0.19,,-0.19,,,,,,,,
,9/7/2017,7/31/2017,-0.278190989,-0.15,,-0.15,,,,,,,,
,,4/28/2017,-0.696428123,-0.47,,-0.47,,,,,,,,
,,1/31/2017,-0.928760972,-0.66,,-0.66,,,,,,,,
,,10/31/2016,-1.142171691,-0.89,,-0.89,,,,,,,,
,,7/29/2016,-1.095628125,-0.9,,-0.9,,,,,,,,
