CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2025,,0.79,5/11/2024,0.64,4/12/2024,0.64,3/2/2024,0.63,12/31/2023,0.62,11/11/2023,0.63,10/19/2023,0.62,9/16/2023,0.64,8/3/2023,0.74,6/16/2023,0.81,5/5/2023,,4/16/2023,0.61,3/10/2023,0.54,1/24/2023,0.54,12/17/2022,0.54,11/11/2022,0.51,10/13/2022,0.51,9/11/2022,0.52,8/7/2022,0.52,7/14/2022,0.55,6/12/2022,0.52,5/11/2022,0.41,4/7/2022,,4/6/2022
,,9/30/2025,,0.73,,0.59,,0.59,,0.59,,0.59,,0.59,,0.58,,0.6,,0.68,,0.69,,,,0.52,,0.51,,0.51,,0.51,,0.48,,0.48,,0.49,,0.49,,0.53,,0.5,,0.4,,,
,,6/30/2025,,0.68,,0.56,,0.56,,0.57,,0.56,,0.58,,0.56,,0.57,,0.64,,0.65,,,,0.49,,0.48,,0.48,,0.48,,0.46,,0.46,,0.47,,0.47,,0.51,,0.48,,0.36,,,
,,3/30/2025,,0.52,,0.4,,0.4,,0.43,,0.42,,0.43,,0.44,,0.45,,0.48,,0.5,,,,0.35,,0.37,,0.37,,0.37,,0.34,,0.34,,0.34,,0.35,,0.37,,0.34,,0.25,,,
,,12/31/2024,,0.65,4/12/2024,0.64,4/12/2024,0.64,3/2/2024,0.63,12/31/2023,0.62,11/11/2023,0.63,10/19/2023,0.62,9/16/2023,0.64,8/3/2023,0.74,6/16/2023,0.81,5/5/2023,,4/16/2023,0.61,3/10/2023,0.54,1/24/2023,0.54,12/17/2022,0.54,11/11/2022,0.51,10/13/2022,0.51,9/11/2022,0.52,8/7/2022,0.52,7/14/2022,0.55,6/12/2022,0.52,5/11/2022,0.41,4/7/2022,,4/6/2022
,,9/30/2024,,0.6,,0.59,,0.59,,0.59,,0.59,,0.59,,0.58,,0.6,,0.68,,0.69,,,,0.52,,0.51,,0.51,,0.51,,0.48,,0.48,,0.49,,0.49,,0.53,,0.5,,0.4,,,
,,6/30/2024,,0.57,,0.56,,0.56,,0.57,,0.56,,0.58,,0.56,,0.57,,0.64,,0.65,,,,0.49,,0.48,,0.48,,0.48,,0.46,,0.46,,0.47,,0.47,,0.51,,0.48,,0.36,,,
,5/8/2024,3/30/2024,0.35,0.43,,0.4,,0.4,,0.43,,0.42,,0.43,,0.44,,0.45,,0.48,,0.5,,,,0.35,,0.37,,0.37,,0.37,,0.34,,0.34,,0.34,,0.35,,0.37,,0.34,,0.25,,,
,2/27/2024,12/31/2023,0.49,0.56,4/16/2023,0.52,4/16/2023,0.53,4/16/2023,0.51,4/16/2023,0.52,4/16/2023,0.54,4/16/2023,0.6,4/16/2023,0.62,4/16/2023,0.61,4/16/2023,0.61,3/10/2023,0.54,1/24/2023,0.54,12/17/2022,0.54,11/11/2022,0.51,10/13/2022,0.51,9/11/2022,0.52,8/7/2022,0.52,7/14/2022,0.55,6/12/2022,0.52,5/11/2022,0.41,4/7/2022,,4/6/2022,,,,
,11/7/2023,9/30/2023,0.41,0.51,,0.5,,0.5,,0.52,,0.55,,0.54,,0.52,,0.52,,0.51,,0.51,,0.51,,0.48,,0.48,,0.49,,0.49,,0.53,,0.5,,0.4,,,,,,,,,,,
,8/2/2023,6/30/2023,0.42,0.5,,0.52,,0.52,,0.49,,0.49,,0.48,,0.48,,0.48,,0.46,,0.46,,0.47,,0.47,,0.51,,0.48,,0.36,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.31,0.38,,0.35,,0.35,,0.37,,0.37,,0.37,,0.34,,0.34,,0.34,,0.35,,0.37,,0.34,,0.25,,,,,,,,,,,,,,,,,,,,,
,3/8/2023,12/31/2022,0.35,0.35,,0.42,,0.42,,0.42,,0.44,,0.44,,0.45,,0.46,,0.46,,0.41,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
,11/9/2022,9/30/2022,0.43,0.43,,0.4,,0.4,,0.41,,0.43,,0.43,,0.42,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,0.41,0.41,,0.39,,0.39,,0.38,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,0.3,0.3,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/7/2022,12/31/2021,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/10/2021,12/31/2020,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2020,9/30/2020,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/9/2020,12/31/2019,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/2019,9/30/2019,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/14/2019,3/29/2019,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/12/2019,12/31/2018,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/8/2018,9/28/2018,-0.43,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2018,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2018,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2017,-0.18,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
