Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3
,9/30/2019,0.569583737,1/24/2020,,,,,,
,6/28/2019,0.487712663,,,,,,,
,3/29/2019,0.510200855,,,,,,,
,12/31/2018,0.536905583,,,,,,,
,9/28/2018,0.513011879,,,,,,,
,6/29/2018,0.42387512,,,,,,,
,3/29/2018,0.430743286,,,,,,,
,12/29/2017,0.426572864,,,,,,,
,9/29/2017,0.40697474100000003,,,,,,,
,6/30/2017,0.33528177,,,,,,,
,3/31/2017,0.340048379,,,,,,,
,12/30/2016,0.343858425,,,,,,,
,9/30/2016,0.295022082,,,,,,,
,6/30/2016,0.2751203,,,,,,,
,3/31/2016,0.254708483,,,,,,,
,12/31/2015,0.27284596899999997,,,,,,,
,9/30/2015,0.252978082,,,,,,,
,6/30/2015,0.21397180600000001,,,,,,,
,3/31/2015,0.20985652800000001,,,,,,,
,12/31/2014,0.21315035300000001,,,,,,,
,9/30/2014,0.209053488,,,,,,,
,6/30/2014,0.182882008,,,,,,,
,3/31/2014,0.17627382600000002,,,,,,,
,12/31/2013,0.203409449,,,,,,,
,9/30/2013,0.207091405,,,,,,,
,6/28/2013,0.16562754400000002,,,,,,,
,3/28/2013,0.18180028899999998,,,,,,,
,12/31/2012,0.19747992399999997,,,,,,,
,9/28/2012,0.20893289999999998,,,,,,,
,6/29/2012,0.15949607300000002,,,,,,,
,3/30/2012,0.17665571600000002,,,,,,,
,12/30/2011,0.178391971,,,,,,,
,9/30/2011,0.18006511,,,,,,,
,6/30/2011,0.164879079,,,,,,,
,3/31/2011,0.148485413,,,,,,,
,12/31/2010,0.162369909,,,,,,,
,9/30/2010,0.159438084,,,,,,,
,6/30/2010,0.152282631,,,,,,,
,3/31/2010,0.14815899800000001,,,,,,,
,12/31/2009,0.147047015,,,,,,,
,9/30/2009,0.14324546800000001,,,,,,,
,6/30/2009,0.131999491,,,,,,,
,3/31/2009,0.14025088900000002,,,,,,,
,12/31/2008,0.125230621,,,,,,,
,9/30/2008,0.098195986,,,,,,,
,6/30/2008,0.10113254,,,,,,,
,3/31/2008,0.08,,,,,,,
,12/31/2007,0.075,,,,,,,
,9/28/2007,0.07,,,,,,,
,6/29/2007,0.045,,,,,,,
,3/30/2007,0.045,,,,,,,
,12/29/2006,0.09,,,,,,,
,9/29/2006,0.09,,,,,,,
,6/30/2006,0.06,,,,,,,
,3/31/2006,0.07,,,,,,,
,12/30/2005,0.065,,,,,,,
,9/30/2005,0.08,,,,,,,
,6/30/2005,0.08,,,,,,,
,3/31/2005,0.08,,,,,,,
,12/31/2004,0.095,,,,,,,
,9/30/2004,0.095,,,,,,,
,6/30/2004,0.09,,,,,,,
,3/31/2004,0.09,,,,,,,
,12/31/2003,0.0925,,,,,,,
,9/30/2003,0.0825,,,,,,,
,6/30/2003,0.0575,,,,,,,
,3/31/2003,0.0625,,,,,,,
,12/31/2002,0.0675,,,,,,,
,9/30/2002,0.08,,,,,,,
,6/28/2002,0.0575,,,,,,,
,3/28/2002,0.0575,,,,,,,
,12/31/2001,0.0475,,,,,,,
,9/28/2001,0.0425,,,,,,,
,6/29/2001,0.035,,,,,,,
,3/30/2001,0.0275,,,,,,,
,12/29/2000,0.0325,,,,,,,
,9/29/2000,0.0275,,,,,,,
,6/30/2000,0.0275,,,,,,,
,3/31/2000,0.0325,,,,,,,
,12/31/1999,0.0325,,,,,,,
,9/30/1999,0.0275,,,,,,,
