CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Non-GAAP,,12/31/2026,,0.39,11/10/2025,0.39,9/23/2025,0.36,8/17/2025,0.33,7/1/2025,0.33,5/16/2025,,,
,,9/30/2026,,0.33,,0.33,,0.32,,0.31,,0.31,,,,
,,6/30/2026,,0.38,,0.38,,0.36,,0.35,,0.35,,,,
,,3/30/2026,,0.32,,0.32,,0.31,,0.32,,0.32,,,,
,,12/31/2025,,0.36,12/21/2024,0.36,12/21/2024,0.36,12/21/2024,0.34,12/21/2024,0.34,12/21/2024,,,
,11/6/2025,9/30/2025,-0.28,0.12,,0.23,,0.25,,0.27,,0.27,,,,
,8/7/2025,6/30/2025,-0.14,0.22,,0.22,,0.22,,0.24,,,,,,
,5/8/2025,3/30/2025,0.03,0.28,,0.22,,0.2,,0.18,,,,,,
,2/27/2025,12/31/2024,0.04,0.19,4/12/2024,0.2,4/12/2024,0.23,4/12/2024,0.27,4/12/2024,,,,,
,11/6/2024,9/30/2024,-0.44,0.11,,0.14,,0.27,,0.35,,,,,,
,8/8/2024,6/30/2024,-6.23,0.14,,0.3,,0.32,,0.32,,,,,,
,5/8/2024,3/30/2024,-0.05,0.27,,0.3,,0.36,,0.43,,,,,,
,2/29/2024,12/31/2023,-0.21,0.37,4/9/2023,0.39,4/9/2023,0.39,4/9/2023,0.8,4/9/2023,,,,,
,11/8/2023,9/30/2023,-0.03,0.48,,0.44,,0.54,,0.57,,,,,,
,8/3/2023,6/30/2023,0.03,0.55,,0.47,,0.52,,0.55,,,,,,
,5/3/2023,3/30/2023,0.39,0.78,,0.47,,0.65,,0.84,,,,,,
,2/27/2023,12/31/2022,0.47,0.89,,0.74,,0.74,,0.76,,,,,,
,11/9/2022,9/30/2022,0.47,0.74,,0.62,,0.62,,0.77,,,,,,
,8/9/2022,6/30/2022,0.53,0.98,,0.85,,0.85,,0.86,,,,,,
,5/4/2022,3/31/2022,0.71,1.08,,1.01,,1.01,,1.11,,,,,,
,3/1/2022,12/31/2021,0.61,1.08,,1.03,,1.03,,1.03,,,,,,
,11/9/2021,9/30/2021,0.3,1.01,,0.85,,0.85,,0.85,,,,,,
,8/3/2021,6/30/2021,1,1.27,,0.97,,0.97,,0.97,,,,,,
,5/4/2021,3/31/2021,1.06,1.26,,1.01,,0.68,,0.66,,,,,,
,3/1/2021,12/31/2020,0.94,1.22,,0.71,,0.71,,0.6,,,,,,
,11/4/2020,9/30/2020,0.45,0.9,,0.54,,0.41,,0.41,,,,,,
,8/6/2020,6/30/2020,0.67,0.75,,0.37,,0.37,,0.33,,,,,,
,5/4/2020,3/31/2020,0.46,0.64,,0.5,,0.5,,0.48,,,,,,
,3/4/2020,12/31/2019,0.6,0.65,,0.61,,0.69,,0.72,,,,,,
,11/5/2019,9/30/2019,0.39,0.4,,0.32,,0.35,,0.41,,,,,,
,8/7/2019,6/28/2019,0.25,0.34,,0.16,,0.35,,,,,,,,
,5/7/2019,3/29/2019,0.41,0.51,,0.35,,0.39,,,,,,,,
,3/6/2019,12/31/2018,0.44,0.63,,0.76,,0.72,,,,,,,,
,11/7/2018,9/28/2018,0.116050609,0.22,,0.18,,0.5,,,,,,,,
,8/7/2018,6/29/2018,0.118919851,0.22,,0.28,,0.37,,,,,,,,
,5/8/2018,3/29/2018,0.098833204,0.42,,0.37,,,,,,,,,,
,3/12/2018,12/29/2017,-0.892189148,,,0.6,,0.53,,0.55,,,,,,
,11/8/2017,9/29/2017,0.31852395,,,0.38,,0.42,,0.4,,,,,,
,8/7/2017,6/30/2017,0.318396533,,,0.33,,0.35,,,,,,,,
,5/9/2017,3/31/2017,0.415524128,,,0.35,,0.37,,0.33,,,,,,
,,12/30/2016,-0.01315423,,,0.46,,0.48,,0.6,,,,,,
,,9/30/2016,0.242016274,,,0.48,,0.44,,0.39,,,,,,
,,6/30/2016,0.240890898,,,0.28,,0.35,,0.4,,,,,,
,,3/31/2016,0.230275305,,,0.37,,0.43,,,,,,,,
,,12/31/2015,0.348044132,,,0.52,,0.51,,0.52,,,,,,
,,9/30/2015,0.228768187,,,0.43,,0.47,,0.34,,,,,,
,,6/30/2015,0.299527148,,,0.36,,0.43,,0.37,,,,,,
,,3/31/2015,0.381870703,,,0.36,,0.43,,0.37,,,,,,
,,12/31/2014,0.443632104,,,0.37,,0.38,,0.49,,,,,,
,,9/30/2014,0.26525831,,,0.37,,0.38,,0.39,,,,,,
,,6/30/2014,0.336492986,,,0.36,,0.37,,0.33,,,,,,
,,3/31/2014,0.396641359,,,0.33,,0.35,,0.37,,,,,,
,,12/31/2013,0.378295929,,,0.38,,0.41,,,,,,,,
