CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,
N,,1/30/2027,,2.37,10/1/2025,2.27,8/29/2025,2.27,7/9/2025,2.28,6/1/2025,s,,,,,,,,,,,
,,10/31/2026,,0.49,,0.54,,0.54,,0.55,,,,,,,,,,,,,
,,7/31/2026,,0.41,,0.41,,0.41,,0.42,,,,,,,,,,,,,
,,4/30/2026,,0.53,,0.54,,0.54,,0.55,,,,,,,,,,,,,
,,1/30/2026,,2.24,12/30/2024,2.17,12/30/2024,2.14,12/30/2024,2.15,12/30/2024,,,,,,,,,,,,
,,10/31/2025,,0.42,,0.47,,0.49,,0.5,,,,,,,,,,,,,
,8/28/2025,7/31/2025,0.3,0.37,,0.37,,0.37,,0.43,,,,,,,,,,,,,
,5/29/2025,4/30/2025,0.49,0.49,,0.42,,0.42,,0.43,,,,,,,,,,,,,
,2/27/2025,1/31/2025,2.09,2.09,,2.04,,2.04,,1.98,,,,,,,,,,,,,
,11/25/2024,10/31/2024,0.49,0.49,,0.47,,0.52,,0.45,,,,,,,,,,,,,
,8/28/2024,7/31/2024,0.68,0.37,,0.38,,0.4,,0.5,,,,,,,,,,,,,
,6/4/2024,4/30/2024,0.38,0.38,,0.32,,0.38,,0.47,,,,,,,,,,,,,
,2/29/2024,2/2/2024,2.55,2.06,,1.87,,1.86,,1.99,,,,,,,,,,,,,
,11/16/2023,10/27/2023,0.521929825,0.48,,0.35,,0.36,,0.85,,,,,,,,,,,,,
,8/23/2023,7/28/2023,0.43231441,0.4,,0.33,,0.8,,1.2475,,,,,,,,,,,,,
,5/18/2023,4/28/2023,0.352173913,0.33,,0.26,,0.72,,1.2475,,,,,,,,,,,,,
,2/23/2023,1/31/2023,1.886956522,1.86,,1.62,,2.14,,2.63,,,,,,,,,,,,,
,11/16/2022,10/31/2022,0.397379913,0.4,,0.2,,0.6,,0.86,,,,,,,,,,,,,
,8/17/2022,7/29/2022,0.519480519,0.52,,0.44,,0.62,,0.68,,,,,,,,,,,,,
,5/18/2022,4/29/2022,0.637860082,0.64,,0.53,,0.64,,1,,,,,,,,,,,,,
,2/23/2022,1/31/2022,2.282582086,2.3,,2.27,,2.19,,2.94,,,,,,,,,,,,,
,11/17/2021,10/29/2021,0.329588015,0.92,,0.61,,0.59,,0.75,,,,,,,,,,,,,
,8/18/2021,7/30/2021,1.335714286,0.77,,0.81,,1.18,,0.21,,,,,,,,,,,,,
