Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,12/31/2020,0.89,3/23/2020,0.83,2/19/2020,0.86,1/28/2020,0.86,1/12/2020,0.97,10/72019,0.98,,0.98,,0.99,,1.02895966,,,,,
,9/30/2020,1.13,,1.12,,1.11,,1.11,,1.09,,1.12,,1.12,,1.11,,1.187261146,,,,,
,6/30/2020,1.1,,1.2,,1.21,,1.2,,1.24,,1.16,,1.16,,1.15,,1.1971549890000002,,,,,
,3/31/2020,1.07,,1.12,,1.13,,1.15,,1.16,,1.17,,1.17,,1.14,,1.147685775,,,,,
,12/31/2019,0.9,,0.74,,0.74,,0.92,,0.97,,0.97,,0.98,,1.06,1.04,1.01,1.05,1.06,1.09,1.12,0.91
,9/30/2019,1.23,,1.12,,1.13,,1.13,,1.21,,1.2,1.24,1.26,1.31,1.19,1.26,0.99,1.01,,,,
,6/28/2019,1.4596774190000001,,1.19,,1.18,,1.23,,1.21,1.23,1.31,1.32,1.33,1.34,1.01,0.98,,,,,,
,3/29/2019,1.320158103,,1.15,,1.16,,1.18,,1.19,1.18,1.19,1.26,1.0,0.94,,,,,,,,
,12/31/2018,1.1395348840000001,,0.98,,0.97,,0.87,,0.83,0.82,0.75,,,,,,,,,,,
,9/28/2018,1.265151515,,1.09,,1.08,,0.97,,0.91,0.9,0.82,,,,,,,,,,,
,6/29/2018,1.288888889,,1.0,,0.91,,0.9,,0.8,,,,,,,,,,,,,
,3/29/2018,1.0785714290000001,,0.79,,0.78,,0.71,,,,,,,,,,,,,,,
,12/29/2017,1.511954993,,0.63,,,,,,,,,,,,,,,,,,,
,9/29/2017,0.7551020409999999,,0.5,,,,,,,,,,,,,,,,,,,
,6/30/2017,0.625,,0.47,,,,,,,,,,,,,,,,,,,
,3/31/2017,0.522670025,,0.35,,,,,,,,,,,,,,,,,,,
,12/30/2016,0.360781991,,0.27,,,,,,,,,,,,,,,,,,,
,9/30/2016,0.267857143,,0.25,,,,,,,,,,,,,,,,,,,
,6/30/2016,0.358823529,,0.53,,,,,,,,,,,,,,,,,,,
,3/31/2016,0.279883382,,0.49,,,,,,,,,,,,,,,,,,,
,12/31/2015,0.08,,0.53,,,,,,,,,,,,,,,,,,,
,9/30/2015,0.27,,0.66,,,,,,,,,,,,,,,,,,,
,6/30/2015,0.3,,0.34,,,,,,,,,,,,,,,,,,,
,3/31/2015,0.38,,0.34,,,,,,,,,,,,,,,,,,,
,12/31/2014,0.28,,0.3,,,,,,,,,,,,,,,,,,,
,9/30/2014,0.38,,0.3,,,,,,,,,,,,,,,,,,,
,6/30/2014,0.31,,0.31,,,,,,,,,,,,,,,,,,,
,3/31/2014,0.28,,0.24,,,,,,,,,,,,,,,,,,,
,12/31/2013,0.23,,,,,,,,,,,,,,,,,,,,,
,9/30/2013,0.24,,,,,,,,,,,,,,,,,,,,,
,6/28/2013,0.26,,,,,,,,,,,,,,,,,,,,,
,3/28/2013,0.15,,,,,,,,,,,,,,,,,,,,,
,12/31/2012,0.06,,,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.17,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,2.21,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.31,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.24,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.21,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,-0.09,,,,,,,,,,,,,,,,,,,,,
