Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2021,0.97,5/21/2020,0.97,5/3/2020,,,,,,,,,,,
,9/30/2021,2.68,,2.68,,,,,,,,,,,,
,6/30/2021,0.32,,0.32,,,,,,,,,,,,
,3/31/2021,-0.7,,-0.7,,,,,,,,,,,,
,12/31/2020,-0.38,5/3/2020,1.69,3/23/2020,1.85,2/17/2020,1.45,1/24/2020,1.46,,1.82,,1.84,1.81,
,9/30/2020,-0.63,,3.48,,4.28,,3.97,,4,,4.37,,4.38,4.65,
,6/30/2020,-3.48,,0.56,,1.84,,1.85,,1.85,,1.97,,2,1.82,
5/20/2020,3/31/2020,-9.24,,-0.75,,-0.51,,-0.28,,-0.28,,-0.17,,-0.15,-0.24,
2/13/2020,12/31/2019,0.52,,1.19,,1.45,,1.2,,1.55,1.57,1.56,1.29,1.33,1.57,1.46
11/6/2019,9/30/2019,2.71,,3.96,,3.8,,3.85,3.87,4.04,3.97,3.99,3.57,3.29,,
7/25/2019,6/28/2019,1.20743463,,1.85,,1.67,,1.69,1.59,1.1,1.06,,,,,
5/2/2019,3/29/2019,-0.696501265,,-0.29,,-0.38,,-0.28,-0.27,-0.29,-0.18,,,,,
2/7/2019,12/31/2018,0.112316495,,1.19,,1.08,,1.44,1.43,1.33,1.21,,,,,
10/25/2018,9/28/2018,3.427944604,,3.12,,3.2,,3.21,2.99,2.86,,,,,,
7/26/2018,6/29/2018,0.00655235,,0.89,,0.82,,0.85,,,,,,,,
4/26/2018,3/29/2018,-0.902402234,,-0.47,,-0.19,,,,,,,,,,
2/8/2018,12/29/2017,0.353642274,,1.15,,1.55,,1.54,1.69,,,,,,,
10/26/2017,9/29/2017,2.232745943,,2.62,,2.83,,2.8,2.94,,,,,,,
7/27/2017,6/30/2017,0.361000554,,0.94,,0.95,,0.96,1.26,,,,,,,
4/27/2017,3/31/2017,-0.572121357,,0.06,,0.08,,0.1,0.42,,,,,,,
2/9/2017,12/30/2016,0.512391098,,1.37,,1.39,,1.47,1.44,,,,,,,
10/27/2016,9/30/2016,1.811062268,,2.47,,2.62,,2.58,0.78,,,,,,,
7/28/2016,6/30/2016,0.206139437,,0.78,,1.08,,1.13,,,,,,,,
4/28/2016,3/31/2016,-0.806748669,,-0.06,,0,,0.04,,,,,,,,
,12/31/2015,-0.093477872,,1,,,,,,,,,,,,
,9/30/2015,2.122787951,,2.01,,,,,,,,,,,,
,6/30/2015,3.381799037,,0.85,,,,,,,,,,,,
,3/31/2015,0.33593857,,0,,,,,,,,,,,,
,12/31/2014,0.501135682,,1.01,,,,,,,,,,,,
,9/30/2014,1.943382675,,1.74,,,,,,,,,,,,
,6/30/2014,0.668619266,,0.76,,,,,,,,,,,,
,3/31/2014,-0.109559663,,0.15,,,,,,,,,,,,
,12/31/2013,0.698652367,,0.86,,,,,,,,,,,,
,9/30/2013,1.216502552,,1.35,,,,,,,,,,,,
,6/28/2013,0.506689722,,0.79,,,,,,,,,,,,
,3/28/2013,-0.768395986,,0.23,,,,,,,,,,,,
,12/31/2012,0.047841655,,0.65,,,,,,,,,,,,
,9/28/2012,1.212511402,,1.26,,,,,,,,,,,,
,6/29/2012,0.761556385,,0.71,,,,,,,,,,,,
,3/30/2012,-0.023552467,,0.15,,,,,,,,,,,,
,12/30/2011,0.513260644,,,,,,,,,,,,,,
,9/30/2011,1.500057272,,,,,,,,,,,,,,
,6/30/2011,1.009636613,,,,,,,,,,,,,,
,3/31/2011,0.374155187,,,,,,,,,,,,,,
,12/31/2010,0.52,,,,,,,,,,,,,,
,9/30/2010,1.24,,,,,,,,,,,,,,
,6/30/2010,0.8,,,,,,,,,,,,,,
,3/31/2010,0.4,,,,,,,,,,,,,,
,12/31/2009,0.58,,,,,,,,,,,,,,
,9/30/2009,0.8,,,,,,,,,,,,,,
,6/30/2009,0.28,,,,,,,,,,,,,,
,3/31/2009,0.28,,,,,,,,,,,,,,
,12/31/2008,-18.92,,,,,,,,,,,,,,
,9/30/2008,0.66,,,,,,,,,,,,,,
,6/30/2008,0.66,,,,,,,,,,,,,,
,3/31/2008,0.34,,,,,,,,,,,,,,
,12/31/2007,0.62,,,,,,,,,,,,,,
,9/28/2007,0.64,,,,,,,,,,,,,,
,6/29/2007,0.6,,,,,,,,,,,,,,
,3/30/2007,0.22,,,,,,,,,,,,,,
,12/29/2006,0.54,,,,,,,,,,,,,,
,9/29/2006,0.34,,,,,,,,,,,,,,
,6/30/2006,0.54,,,,,,,,,,,,,,
