CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,5/30/2024,,1.15,8/13/2023,1.14,7/6/2023,1.14,5/10/2023,1.14,3/25/2023,1.15,3/3/2023,1.11,1/27/2023,1.11,12/24/2022,1.12,12/6/2022,1.12,10/31/2022,1.12,9/25/2022,1.12,9/9/2022,,8/5/2022,1.06,7/2/2022,1.04,5/31/2022,1.05,4/29/2022,1.05,3/26/2022,1.02,2/28/2022,1,1/21/2022,1,12/22/2021,0.96,11/7/2021,0.96,9/26/2021,0.95,9/13/2021,0.95,8/8/2021,0.95,7/6/2021,0.89,5/24/2021,0.89,4/23/2021,0.91,3/24/2021,0.92,3/1/2021,0.92,1/31/2021,0.91,12/23/2020,0.91,12/1/2020,0.91,10/30/2020,0.91,9/25/2020,0.91,9/13/2020
,,2/28/2024,,1.08,,1.08,,1.06,,1.06,,0.98,,0.97,,0.97,,0.97,,0.97,,0.98,,0.98,,,,0.92,,0.9,,0.9,,0.9,,0.88,,0.9,,0.9,,0.91,,0.91,,0.88,,0.88,,0.89,,0.88,,0.87,,0.86,,0.87,,0.87,,0.89,,0.88,,0.88,,0.88,,0.88,
,,11/30/2023,,1.18,,1.18,,1.17,,1.17,,1.16,,1.16,,1.16,,1.15,,1.15,,1.15,,1.15,,,,1.05,,1.05,,1.05,,1.05,,1.06,,1.05,,1.06,,1.08,,1.08,,1.02,,1.02,,1.02,,1.03,,1.03,,1.05,,1.05,,1.05,,1.03,,1.02,,1.02,,1.02,,1.02,
,,8/30/2023,,1.1,,1.1,,1.13,,1.13,,1.13,,1.12,,1.12,,1.14,,1.14,,1.12,,1.12,,,,0.99,,0.99,,0.99,,0.99,,0.99,,0.99,,0.99,,1,,0.99,,0.89,,0.89,,0.88,,0.91,,0.91,,0.93,,0.93,,0.94,,0.93,,0.93,,0.93,,0.93,,0.93,
,6/28/2023,5/30/2023,1.03,1.12,,1.06,,1.06,,1.05,,1.03,,1.03,,1.05,,1.05,,1.05,,1.06,,1.06,,1.06,7/2/2022,1.04,5/31/2022,1.05,4/29/2022,1.05,3/26/2022,1.02,2/28/2022,1,1/21/2022,1,12/22/2021,0.96,11/7/2021,0.96,9/26/2021,0.95,9/13/2021,0.95,8/8/2021,0.95,7/6/2021,0.89,5/24/2021,0.89,4/23/2021,0.91,3/24/2021,0.92,3/1/2021,0.92,1/31/2021,0.91,12/23/2020,0.91,12/1/2020,0.91,10/30/2020,0.91,9/25/2020,0.91,9/13/2020,,
,3/23/2023,2/28/2023,0.92,0.97,,0.91,,0.9,,0.91,,0.9,,0.9,,0.9,,0.91,,0.92,,0.92,,0.9,,0.9,,0.9,,0.88,,0.9,,0.9,,0.91,,0.91,,0.88,,0.88,,0.89,,0.88,,0.87,,0.86,,0.87,,0.87,,0.89,,0.88,,0.88,,0.88,,0.88,,,,,,,
,12/20/2022,11/30/2022,1.01,1.1,,1.05,,1.05,,1.05,,1.04,,1.05,,1.05,,1.05,,1.05,,1.05,,1.06,,1.05,,1.06,,1.08,,1.08,,1.02,,1.02,,1.02,,1.03,,1.03,,1.05,,1.05,,1.05,,1.03,,1.02,,1.02,,1.02,,1.02,,,,,,,,,,,,,
,9/21/2022,8/30/2022,1.35,1.11,,0.99,,0.98,,0.99,,0.99,,0.99,,0.99,,0.99,,0.99,,0.99,,1,,0.99,,0.89,,0.89,,0.88,,0.91,,0.91,,0.93,,0.93,,0.94,,0.93,,0.93,,0.93,,0.93,,0.93,,,,,,,,,,,,,,,,,,,
,6/29/2022,5/28/2022,1.35,1.12,,1.01,,1.01,,1.01,,0.98,,0.95,,0.96,,0.9,,0.9,,0.95,,0.95,,0.95,7/6/2021,0.89,5/24/2021,0.89,4/23/2021,0.91,3/24/2021,0.92,3/1/2021,0.92,1/31/2021,0.91,12/23/2020,0.91,12/1/2020,0.91,10/30/2020,0.91,9/25/2020,0.91,9/13/2020,,,,,,,,,,,,,,,,,,,,,,,,
,3/23/2022,2/26/2022,1.08,0.84,,0.79,,0.83,,0.83,,0.86,,0.86,,0.88,,0.88,,0.89,,0.88,,0.87,,0.86,,0.87,,0.87,,0.89,,0.88,,0.88,,0.88,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
