CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Adjusted,,9/30/2027,,0.54,1/10/2026,0.54,11/15/2025,0.43,10/21/2025,0.43,9/9/2025,0.44,8/3/2025,0.44,6/26/2025,,,,,,,
,,6/30/2027,,0.47,,0.46,,0.39,,0.39,,0.38,,0.38,,,,,,,,
,,3/30/2027,,0.35,,0.36,,0.32,,0.33,,0.34,,0.34,,,,,,,,
,,12/30/2026,,0.36,,0.35,,0.31,,0.34,,0.34,,0.35,,,,,,,,
,,9/30/2026,,0.46,10/21/2025,0.45,10/21/2025,0.43,10/21/2025,0.43,9/9/2025,0.44,8/3/2025,0.44,6/26/2025,,,,,,,
,,6/30/2026,,0.4,,0.4,,0.39,,0.39,,0.38,,0.38,,,,,,,,
,,3/30/2026,,0.32,,0.32,,0.32,,0.33,,0.34,,0.34,,,,,,,,
,,12/30/2025,,0.31,,0.31,,0.31,,0.34,,0.34,,0.35,,,,,,,,
,11/12/2025,9/30/2025,0.48,0.4,11/15/2024,0.4,11/15/2024,0.41,11/15/2024,0.4,11/15/2024,0.41,11/15/2024,,,,,,,,,
,7/30/2025,6/30/2025,0.43,0.43,,0.38,,0.38,,0.36,,,,,,,,,,,,
,5/7/2025,3/30/2025,0.02,0.33,,0.31,,0.31,,0.32,,,,,,,,,,,,
,1/30/2025,12/30/2024,0.01,0.35,,0.33,,0.33,,0.33,,,,,,,,,,,,
,11/13/2024,9/30/2024,0.35,0.35,1/2/2024,0.37,1/2/2024,1.85,1/2/2024,1.85,1/2/2024,,,,,,,,,,,
,7/31/2024,6/30/2024,1.59,1.59,,1.55,,1.55,,1.51,,,,,,,,,,,,
,5/1/2024,3/30/2024,1.42,1.4,,1.29,,1.32,,1.3,,,,,,,,,,,,
,1/31/2024,12/30/2023,1.4,1.4,,1.36,,1.4,,1.38,,,,,,,,,,,,
,11/15/2023,9/30/2023,1,1.78,,1.44,,1.45,,1.44,,,,,,,,,,,,
,8/9/2023,6/30/2023,1.12,1.29,,1.18,,1.2,,1.29,,,,,,,,,,,,
,5/10/2023,3/30/2023,0.8,1.17,,1.01,,1.07,,1.08,,,,,,,,,,,,
,2/1/2023,12/30/2022,2.18,1.34,,1.21,,1.15,,1.13,,,,,,,,,,,,
,11/9/2022,9/30/2022,1.55,1.26,,1.15,,1.15,,1.15,,,,,,,,,,,,
,8/3/2022,6/30/2022,1.09,1.08,,1.05,,1.05,,1.04,,,,,,,,,,,,
,5/4/2022,3/31/2022,0.98,0.98,,0.9,,0.9,,0.9,,,,,,,,,,,,
,2/2/2022,12/31/2021,1.25,1.19,,1.03,,1.03,,1.03,,,,,,,,,,,,
,11/17/2021,9/30/2021,1.52,1.05,,1,,1,,1,,,,,,,,,,,,
,7/28/2021,6/30/2021,0.95,0.95,,0.88,,0.88,,0.87,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.83,0.83,,0.75,,0.74,,0.73,,,,,,,,,,,,
