CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2025,,2.83,8/28/2024,2.83,7/26/2024,2.97,6/13/2024,2.95,4/27/2024,2.49,3/16/2024,2.53,2/3/2024,2.5,1/8/2024,2.5,12/1/2023,2.43,10/28/2023,2.6,10/4/2023,2.6,8/28/2023,2.64,7/26/2023,2.66,7/12/2023,2.63,6/7/2023,2.74,4/28/2023,,3/15/2023,2.55,2/4/2023,2.56,1/2/2023,2.62,11/30/2022,2.64,10/29/2022,2.79,10/5/2022,2.79,9/2/2022,2.69,7/31/2022,2.82,7/3/2022,2.82,6/2/2022,2.81,5/1/2022,2.81,4/14/2022,,3/12/2022,2.56,2/6/2022,2.46,2/5/2022,2.42,,2.365829146,,
,,9/30/2025,,2.67,,2.67,,2.79,,2.78,,2.41,,2.44,,2.49,,2.49,,2.61,,2.64,,2.64,,2.62,,2.84,,2.87,,2.96,,,,2.68,,2.66,,2.67,,2.67,,2.78,,2.78,,2.72,,2.82,,2.82,,2.77,,2.77,,,,2.47,,2.35,,2.32,,2.14,,2.14
,,6/30/2025,,2.67,,2.67,,2.69,,2.7,,2.28,,2.28,,2.37,,2.37,,2.44,,2.53,,2.53,,2.55,,2.66,,2.67,,2.76,,,,2.4,,2.63,,2.68,,2.69,,2.74,,2.74,,2.69,,2.77,,2.77,,2.74,,2.74,,,,2.37,,2.35,,2.26,,1.989447236,,
,,3/30/2025,,2.47,,2.47,,2.48,,2.49,,2.15,,2.14,,2.19,,2.19,,2.25,,2.38,,2.38,,2.4,,2.42,,2.43,,2.64,,,,1.77,,2.38,,2.45,,2.48,,2.63,,2.63,,2.59,,2.63,,2.63,,2.56,,2.56,,,,2.23,,2.2,,2.17,,2.096984925,,
,,12/31/2024,,2.41,3/16/2024,2.41,3/16/2024,2.46,3/16/2024,2.44,3/16/2024,2.49,3/16/2024,2.53,2/3/2024,2.5,1/8/2024,2.5,12/1/2023,2.43,10/28/2023,2.6,10/4/2023,2.6,8/28/2023,2.64,7/26/2023,2.66,7/12/2023,2.63,6/7/2023,2.74,4/28/2023,,3/15/2023,2.55,2/4/2023,2.56,1/2/2023,2.62,11/30/2022,2.64,10/29/2022,2.79,10/5/2022,2.79,9/2/2022,2.69,7/31/2022,2.82,7/3/2022,2.82,6/2/2022,2.81,5/1/2022,2.81,4/14/2022,,3/12/2022,2.56,2/6/2022,2.46,2/5/2022,2.42,,2.365829146,,
,,9/30/2024,,2.32,,2.32,,2.41,,2.41,,2.41,,2.44,,2.49,,2.49,,2.61,,2.64,,2.64,,2.62,,2.84,,2.87,,2.96,,,,2.68,,2.66,,2.67,,2.67,,2.78,,2.78,,2.72,,2.82,,2.82,,2.77,,2.77,,,,2.47,,2.35,,2.32,,2.14,,2.14
,7/23/2024,6/30/2024,2.18,2.42,,2.26,,2.28,,2.28,,2.28,,2.37,,2.37,,2.44,,2.53,,2.53,,2.55,,2.66,,2.67,,2.76,,,,2.4,,2.63,,2.68,,2.69,,2.74,,2.74,,2.69,,2.77,,2.77,,2.74,,2.74,,,,2.37,,2.35,,2.26,,1.989447236,,,,
,4/24/2024,3/30/2024,2.13,2.29,,2.15,,2.14,,2.19,,2.19,,2.25,,2.38,,2.38,,2.4,,2.42,,2.43,,2.64,,,,1.77,,2.38,,2.45,,2.48,,2.63,,2.63,,2.59,,2.63,,2.63,,2.56,,2.56,,,,2.23,,2.2,,2.17,,2.096984925,,,,,,,,
,1/31/2024,12/31/2023,1.77,2.61,3/15/2023,2.16,3/15/2023,2.17,3/15/2023,2.19,3/15/2023,2.32,3/15/2023,2.32,3/15/2023,2.43,3/15/2023,2.68,3/15/2023,2.65,3/15/2023,2.58,3/15/2023,2.51,3/15/2023,2.55,2/4/2023,2.56,1/2/2023,2.62,11/30/2022,2.64,10/29/2022,2.79,10/5/2022,2.79,9/2/2022,2.69,7/31/2022,2.82,7/3/2022,2.82,6/2/2022,2.81,5/1/2022,2.81,4/14/2022,,3/12/2022,2.56,2/6/2022,2.46,2/5/2022,2.42,,2.365829146,,,,,,,,,,,,
,10/25/2023,9/30/2023,1.71,2.1,,2.11,,2.11,,2.25,,2.5,,2.57,,2.64,,2.71,,2.68,,2.66,,2.67,,2.67,,2.78,,2.78,,2.72,,2.82,,2.82,,2.77,,2.77,,,,2.47,,2.35,,2.32,,2.14,,2.14,,,,,,,,,,,,,,,,
