CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
N,,12/31/2026,,10.99,12/14/2025,10.99,11/3/2025,11.38,9/9/2025,12.14,8/4/2025,12.14,7/17/2025,12.15,6/12/2025,,,,,,,,,,
,,9/30/2026,,10.09,,10.09,,10.91,,11.56,,11.56,,11.57,,,,,,,,,,,
,,6/30/2026,,10.42,,10.42,,10.59,,11.16,,11.16,,11.16,,,,,,,,,,,
,,3/30/2026,,10.37,,10.37,,10.28,,11.01,,11.01,,11.01,,,,,,,,,,,
,,12/31/2025,,10.28,12/12/2024,10.68,12/12/2024,10.2,12/12/2024,10.7,12/12/2024,10.7,12/12/2024,10.7,12/12/2024,,,,,,,,,,
,10/30/2025,9/30/2025,9.43,9.3,,9.52,,10.05,,10.05,,10.05,,,,,,,,,,,,,
,7/31/2025,6/30/2025,7.42,8.56,,9.68,,9.71,,9.84,,,,,,,,,,,,,,,
,4/30/2025,3/30/2025,8.66,9.35,,9.67,,9.67,,9.67,,,,,,,,,,,,,,,
,1/30/2025,12/31/2024,12.26,10.17,4/19/2024,8.03,4/19/2024,9.26,4/19/2024,9.26,4/19/2024,,,,,,,,,,,,,,
,10/30/2024,9/30/2024,6.35,8.79,,9.05,,9.05,,9.05,,,,,,,,,,,,,,,
,7/31/2024,6/30/2024,-3.83,10.29,,8.65,,8.65,,8.83,,,,,,,,,,,,,,,
,4/30/2024,3/30/2024,5.08,9.28,,8.35,,7.98,,7.46,,,,,,,,,,,,,,,
,1/31/2024,12/31/2023,7.29,7.29,4/17/2023,5.43,4/17/2023,5.99,4/17/2023,4.6,4/17/2023,,,,,,,,,,,,,,
,10/30/2023,9/30/2023,5.43,5.43,,5.71,,5.71,,5.71,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,1.69,1.69,,8.18,,8.18,,8.72,,,,,,,,,,,,,,,
,5/1/2023,3/30/2023,7.61,7.61,,8.81,,8.94,,8.86,,,,,,,,,,,,,,,
,1/31/2023,12/31/2022,9.58,9.58,,7.16,,7.18,,8.96,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,6.49,6.49,,10.33,,10.8,,11.47,,,,,,,,,,,,,,,
,8/1/2022,6/30/2022,7.94,7.94,,12.78,,12.78,,12.24,,,,,,,,,,,,,,,
,5/2/2022,3/31/2022,14.94,14.94,,12.19,,12.01,,11.69,,,,,,,,,,,,,,,
,1/31/2022,12/31/2021,14.6,14.6,,12.69,,12.69,,10.48,,,,,,,,,,,,,,,
,11/1/2021,9/30/2021,15.79,15.79,,11.68,,11.68,,11.24,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,17.18,17.18,,9.5,,9.25,,7.16,,,,,,,,,,,,,,,
,4/29/2021,3/31/2021,11.82,11.82,,7.26,,7.26,,6.52,,,,,,,,,,,,,,,
