Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
12/31/2020,0.85,3/8/2020,0.85,,0.84,,0.82,,,,,,,,,,,,
9/30/2020,0.86,,0.86,,0.83,,0.81,,,,,,,,,,,,
6/30/2020,0.93,,0.93,,0.83,,,,,,,,,,,,,,
3/31/2020,0.84,,0.84,,0.82,,,,,,,,,,,,,,
12/31/2019,0.72,,0.72,,0.81,,,,,,,,,,,,,,
9/30/2019,0.71,,0.71,,0.7,,0.79,,,,,,,,,,,,
6/28/2019,0.880159787,,0.72,,0.8,,,,,,,,,,,,,,
3/29/2019,0.735723772,,0.66,,0.71,,,,,,,,,,,,,,
12/31/2018,0.688741722,,0.72,,0.74,,0.76,,,,,,,,,,,,
9/28/2018,0.729194188,,0.7,,0.74,,,,,,,,,,,,,,
6/29/2018,0.748,,0.67,,0.7,,,,,,,,,,,,,,
3/29/2018,0.577483444,,0.64,,0.65,,,,,,,,,,,,,,
12/29/2017,0,,0.63,,0.67,,,,,,,,,,,,,,
9/29/2017,0.671936759,,0.53,,0.63,,0.62,,0.65,,,,,,,,,,
6/30/2017,0.511873351,,0.65,,0.68,,,,,,,,,,,,,,
3/31/2017,0.813084112,,0.55,,0.61,,0.64,,,,,,,,,,,,
12/30/2016,0.522029372,,0.56,,0.57,,,,,,,,,,,,,,
9/30/2016,0.501333333,,0.53,,0.54,,,,,,,,,,,,,,
6/30/2016,0.598930481,,0.56,,,,,,,,,,,,,,,,
3/31/2016,0.298245614,,0.51,,,,,,,,,,,,,,,,
12/31/2015,0.45074224,,0.47,,0.46,,0.47,,0.49,,0.51,,0.56,,0.54,,0.53,,0.52
9/30/2015,0.0202977,,0.43,,0.47,,0.48,,0.5,,0.53,,0.52,,,,,,
6/30/2015,0.377204885,,0.45,,0.49,,0.5,,0.53,,0.57,,0.56,,0.52,,,,
