Date,Open,High,Low,Close,Volume
6/28/2019,198.679993,199.5,197.050003,197.919998,3.11E+07
6/27/2019,200.289993,201.570007,199.570007,199.740005,2.09E+07
6/26/2019,197.770004,200.990005,197.350006,199.800003,2.61E+07
6/25/2019,198.429993,199.259995,195.289993,195.570007,2.11E+07
6/24/2019,198.539993,200.160004,198.169998,198.580002,1.82E+07
6/21/2019,198.800003,200.850006,198.149994,198.779999,4.78E+07
6/20/2019,200.369995,200.610001,198.029999,199.460007,2.15E+07
6/19/2019,199.679993,199.880005,197.309998,197.869995,2.11E+07
6/18/2019,196.050003,200.289993,195.210007,198.449997,2.66E+07
6/17/2019,192.899994,194.960007,192.169998,193.889999,1.47E+07
6/14/2019,191.550003,193.589996,190.300003,192.740005,1.88E+07
6/13/2019,194.699997,196.789993,193.600006,194.149994,2.17E+07
6/12/2019,193.949997,195.970001,193.389999,194.190002,1.83E+07
6/11/2019,194.860001,196,193.600006,194.809998,2.69E+07
6/10/2019,191.809998,195.369995,191.619995,192.580002,2.62E+07
6/7/2019,186.509995,191.919998,185.770004,190.149994,3.07E+07
6/6/2019,183.080002,185.470001,182.149994,185.220001,2.25E+07
6/5/2019,184.279999,184.990005,181.139999,182.539993,2.98E+07
6/4/2019,175.440002,179.830002,174.520004,179.639999,3.10E+07
6/3/2019,175.600006,177.919998,170.270004,173.300003,4.04E+07
5/31/2019,176.229996,177.990005,174.990005,175.070007,2.70E+07
5/30/2019,177.949997,179.229996,176.669998,178.300003,2.12E+07
5/29/2019,176.419998,179.350006,176,177.380005,2.85E+07
5/28/2019,178.919998,180.589996,177.910004,178.229996,2.79E+07
5/24/2019,180.199997,182.139999,178.619995,178.970001,2.37E+07
5/23/2019,179.800003,180.539993,177.809998,179.660004,3.65E+07
5/22/2019,184.660004,185.710007,182.550003,182.779999,2.97E+07
5/21/2019,185.220001,188,184.699997,186.600006,2.84E+07
5/20/2019,183.520004,184.350006,180.279999,183.089996,3.86E+07
5/17/2019,186.929993,190.899994,186.759995,189,3.29E+07
5/16/2019,189.910004,192.470001,188.839996,190.080002,3.30E+07
5/15/2019,186.270004,191.75,186.020004,190.919998,2.65E+07
5/14/2019,186.410004,189.699997,185.410004,188.660004,3.65E+07
5/13/2019,187.710007,189.479996,182.850006,185.720001,5.74E+07
5/10/2019,197.419998,198.850006,192.770004,197.179993,4.12E+07
5/9/2019,200.399994,201.679993,196.660004,200.720001,3.49E+07
5/8/2019,201.899994,205.339996,201.75,202.899994,2.63E+07
5/7/2019,205.880005,207.419998,200.830002,202.860001,3.88E+07
5/6/2019,204.289993,208.839996,203.5,208.479996,3.24E+07
5/3/2019,210.889999,211.839996,210.229996,211.75,2.09E+07
5/2/2019,209.839996,212.649994,208.130005,209.149994,3.20E+07
5/1/2019,209.880005,215.309998,209.229996,210.520004,6.48E+07
4/30/2019,203.059998,203.399994,199.110001,200.669998,4.65E+07
4/29/2019,204.399994,205.970001,203.860001,204.610001,2.22E+07
4/26/2019,204.899994,205,202.119995,204.300003,1.86E+07
4/25/2019,206.830002,207.759995,205.119995,205.279999,1.85E+07
4/24/2019,207.360001,208.479996,207.050003,207.160004,1.75E+07
4/23/2019,204.429993,207.75,203.899994,207.479996,2.33E+07
4/22/2019,202.830002,204.940002,202.339996,204.529999,1.94E+07
4/18/2019,203.119995,204.149994,202.520004,203.860001,2.42E+07
4/17/2019,199.539993,203.380005,198.610001,203.130005,2.89E+07
4/16/2019,199.460007,201.369995,198.559998,199.25,2.57E+07
4/15/2019,198.580002,199.850006,198.009995,199.229996,1.75E+07
4/12/2019,199.199997,200.139999,196.210007,198.869995,2.78E+07
4/11/2019,200.850006,201,198.440002,198.949997,2.09E+07
4/10/2019,198.679993,200.740005,198.179993,200.619995,2.17E+07
4/9/2019,200.320007,202.850006,199.229996,199.5,3.58E+07
4/8/2019,196.419998,200.229996,196.339996,200.100006,2.59E+07
4/5/2019,196.449997,197.100006,195.929993,197,1.85E+07
4/4/2019,194.789993,196.369995,193.139999,195.690002,1.91E+07
4/3/2019,193.25,196.5,193.149994,195.350006,2.33E+07
4/2/2019,191.089996,194.460007,191.050003,194.020004,2.28E+07
4/1/2019,191.639999,191.679993,188.380005,191.240005,2.79E+07
3/29/2019,189.830002,190.080002,188.539993,189.949997,2.36E+07
3/28/2019,188.949997,189.559998,187.529999,188.720001,2.08E+07
3/27/2019,188.75,189.759995,186.550003,188.470001,2.98E+07
3/26/2019,191.660004,192.880005,184.580002,186.789993,4.98E+07
3/25/2019,191.509995,191.979996,186.600006,188.740005,4.38E+07
3/22/2019,195.339996,197.690002,190.779999,191.050003,4.24E+07
3/21/2019,190.020004,196.330002,189.809998,195.089996,5.10E+07
3/20/2019,186.229996,189.490005,184.729996,188.160004,3.10E+07
3/19/2019,188.350006,188.990005,185.919998,186.529999,3.16E+07
3/18/2019,185.800003,188.389999,185.789993,188.020004,2.62E+07
3/15/2019,184.850006,187.330002,183.740005,186.119995,3.90E+07
3/14/2019,183.899994,184.100006,182.559998,183.729996,2.36E+07
3/13/2019,182.25,183.300003,180.919998,181.710007,3.10E+07
3/12/2019,180,182.669998,179.369995,180.910004,3.25E+07
3/11/2019,175.490005,179.119995,175.350006,178.899994,3.20E+07
3/8/2019,170.320007,173.070007,169.5,172.910004,2.40E+07
3/7/2019,173.869995,174.440002,172.020004,172.5,2.48E+07
3/6/2019,174.669998,175.490005,173.940002,174.520004,2.08E+07
3/5/2019,175.940002,176,174.539993,175.529999,1.97E+07
3/4/2019,175.690002,177.75,173.970001,175.850006,2.74E+07
3/1/2019,174.279999,175.149994,172.889999,174.970001,2.59E+07
2/28/2019,174.320007,174.910004,172.919998,173.149994,2.82E+07
2/27/2019,173.210007,175,172.729996,174.869995,2.78E+07
2/26/2019,173.710007,175.300003,173.169998,174.330002,1.71E+07
2/25/2019,174.160004,175.869995,173.949997,174.229996,2.19E+07
2/22/2019,171.580002,173,171.380005,172.970001,1.89E+07
2/21/2019,171.800003,172.369995,170.300003,171.059998,1.72E+07
2/20/2019,171.190002,173.320007,170.990005,172.029999,2.61E+07
2/19/2019,169.710007,171.440002,169.490005,170.929993,1.90E+07
2/15/2019,171.25,171.699997,169.75,170.419998,2.46E+07
2/14/2019,169.710007,171.259995,169.380005,170.800003,2.18E+07
2/13/2019,171.389999,172.479996,169.919998,170.179993,2.25E+07
2/12/2019,170.100006,171,169.699997,170.889999,2.23E+07
2/11/2019,171.050003,171.210007,169.25,169.429993,2.10E+07
2/8/2019,168.990005,170.660004,168.419998,170.410004,2.38E+07
2/7/2019,172.399994,173.940002,170.339996,170.940002,3.17E+07
2/6/2019,174.649994,175.570007,172.850006,174.240005,2.82E+07
2/5/2019,172.860001,175.080002,172.350006,174.179993,3.61E+07
2/4/2019,167.410004,171.660004,167.279999,171.25,3.15E+07
2/1/2019,166.960007,168.979996,165.929993,166.520004,3.27E+07
1/31/2019,166.110001,169,164.559998,166.440002,4.07E+07
1/30/2019,163.25,166.149994,160.229996,165.25,6.11E+07
1/29/2019,156.25,158.130005,154.110001,154.679993,4.16E+07
1/28/2019,155.789993,156.330002,153.660004,156.300003,2.62E+07
1/25/2019,155.479996,158.130005,154.320007,157.759995,3.35E+07
1/24/2019,154.110001,154.479996,151.740005,152.699997,2.54E+07
1/23/2019,154.149994,155.139999,151.699997,153.919998,2.31E+07
1/22/2019,156.410004,156.729996,152.619995,153.300003,3.04E+07
1/18/2019,157.5,157.880005,155.979996,156.820007,3.38E+07
1/17/2019,154.199997,157.660004,153.259995,155.860001,2.98E+07
1/16/2019,153.080002,155.880005,153,154.940002,3.06E+07
1/15/2019,150.270004,153.389999,150.050003,153.070007,2.87E+07
1/14/2019,150.850006,151.270004,149.220001,150,3.24E+07
1/11/2019,152.880005,153.699997,151.509995,152.289993,2.70E+07
1/10/2019,152.5,153.970001,150.860001,153.800003,3.58E+07
1/9/2019,151.289993,154.529999,149.630005,153.309998,4.51E+07
1/8/2019,149.559998,151.820007,148.520004,150.75,4.10E+07
1/7/2019,148.699997,148.830002,145.899994,147.929993,5.48E+07
