Adj_Close,Volume
1,1.00E+02
2,1.01E+02
3,1.02E+02
4,1.03E+02
5,1.04E+02
6,1.05E+02
7,1.06E+02
8,1.07E+02
9,1.08E+02
10,1.09E+02
11,1.10E+02
12,1.11E+02
13,1.12E+02
14,1.13E+02
15,1.14E+02
16,1.15E+02
17,1.16E+02
18,1.17E+02
19,1.18E+02
20,1.19E+02
21,1.20E+02
22,1.21E+02
23,1.22E+02
24,1.23E+02
25,1.24E+02
26,1.25E+02
27,1.26E+02
28,1.27E+02
29,1.28E+02
30,1.29E+02
31,1.30E+02
32,1.31E+02
33,1.32E+02
34,1.33E+02
35,1.34E+02
36,1.35E+02
37,1.36E+02
38,1.37E+02
39,1.38E+02
40,1.39E+02
41,1.40E+02
42,1.41E+02
43,1.42E+02
44,1.43E+02
45,1.44E+02
46,1.45E+02
47,1.46E+02
48,1.47E+02
49,1.48E+02
50,1.49E+02
